"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.20","1.65","-0.67","-0.28","-0.03","-0.10","1079.20"
"0.050048828","-10.32","1.96","-0.51","-0.20","-0.03","-0.11","1079.25"
"0.11010742","-10.28","1.53","-0.39","-0.05","-0.04","-0.11","1079.31"
"0.16003418","-10.40","1.53","-0.67","-0.11","-0.04","-0.12","1079.36"
"0.21008301","-10.28","1.92","-0.55","-0.08","-0.05","-0.13","1079.41"
"0.26000977","-10.24","1.37","-0.31","0.05","-0.09","-0.16","1079.46"
"0.3100586","-10.36","1.61","-0.47","-0.08","-0.11","-0.16","1079.51"
"0.36999512","-10.24","1.61","-0.86","-0.13","-0.16","-0.20","1079.57"
"0.42004395","-10.47","2.43","-0.75","-0.20","-0.25","-0.31","1079.62"
"0.47009277","-10.51","1.73","-0.35","-0.24","-0.42","-0.57","1079.67"
"0.52001953","-10.47","-0.35","0.71","-0.11","-0.46","-0.72","1079.72"
"0.57006836","-10.94","-0.94","-0.12","-0.57","-0.31","-0.79","1079.77"
"0.6300049","-9.92","0.59","1.14","-0.01","-0.25","-0.98","1079.83"
"0.6800537","-9.30","-1.84","1.73","0.56","-0.16","-1.11","1079.88"
"0.73010254","-8.67","-0.47","1.57","0.41","0.05","-1.06","1079.93"
"0.7800293","-8.47","-1.53","3.02","0.96","0.14","-0.27","1079.98"
"0.8300781","-10.16","-4.67","-0.71","-0.05","-0.46","-0.47","1080.03"
"0.89001465","-6.98","-1.29","2.75","-0.09","-0.16","-0.55","1080.09"
"0.9400635","-14.24","0.20","1.18","-0.09","-0.57","-0.29","1080.14"
"0.98999023","-8.16","-7.69","2.71","0.30","-0.56","-0.73","1080.19"
"1.0400391","-11.41","-6.94","5.02","0.28","-0.43","0.23","1080.24"
"1.0900879","-11.65","-7.37","5.69","0.46","-0.28","0.67","1080.29"
"1.1500244","-15.93","5.22","5.22","0.91","-0.27","0.63","1080.35"
"1.2000732","-4.67","2.55","2.94","0.29","-0.83","0.08","1080.40"
"1.25","-11.41","-4.16","2.55","-0.33","-2.29","-0.04","1080.45"
"1.3000488","-12.67","-6.63","12.67","0.55","-4.66","-4.86","1080.50"
"1.3500977","-10.79","-7.53","9.45","0.25","-5.96","-4.50","1080.55"
"1.4100342","-6.67","-2.47","0.51","0.99","-5.84","-2.79","1080.61"
"1.460083","-20.01","-4.86","-3.88","-1.24","-3.80","1.34","1080.66"
"1.5100098","-20.01","-1.14","-2.39","0.51","1.13","4.00","1080.71"
"1.5600586","-20.01","-20.01","5.96","0.38","8.73","7.81","1080.76"
"1.6101074","-20.01","-20.01","20.01","1.06","13.18","9.68","1080.81"
"1.670044","-11.18","20.01","20.01","7.85","14.23","7.13","1080.87"
"1.7200928","-16.51","-2.90","18.01","-1.73","4.16","-5.61","1080.92"
"1.7700195","3.06","2.47","8.16","-3.02","-0.66","-3.32","1080.97"
"1.8200684","-9.45","-4.43","12.94","-6.37","-0.48","-3.62","1081.02"
"1.8699951","1.06","2.28","10.00","1.40","-1.72","-2.09","1081.07"
"1.9300537","-8.43","-2.98","-6.08","-0.13","-2.14","-1.36","1081.13"
"1.9801025","-11.26","8.47","0.31","-1.93","-1.46","-0.53","1081.18"
"2.0300293","-12.47","0.75","-2.67","0.66","-1.84","0.02","1081.23"
"2.0800781","-14.36","-1.29","-4.67","-0.16","-1.51","0.06","1081.28"
"2.130005","-14.04","-3.96","-4.79","-0.65","-1.07","0.82","1081.33"
"2.1900635","-10.98","3.92","-2.55","-2.14","-0.38","0.88","1081.39"
"2.2399902","-18.75","8.83","-11.61","-0.21","0.40","1.24","1081.44"
"2.290039","-10.24","4.47","-1.53","2.99","0.33","0.16","1081.49"
"2.340088","-12.87","-5.22","-6.43","0.57","-0.07","-0.33","1081.54"
"2.3900146","-8.87","5.61","0.71","0.08","0.33","-0.69","1081.59"
"2.4400635","-13.38","-1.10","-4.28","-0.38","-0.27","-0.25","1081.64"
"2.5","-9.49","-0.75","-0.98","-0.29","-0.06","-0.27","1081.70"
"2.5500488","-10.67","-2.39","-0.75","-0.10","0.08","0.01","1081.75"
"2.6000977","-10.75","1.61","-0.82","-0.30","0.23","0.04","1081.80"
"2.6500244","-10.47","-1.33","-1.41","0.13","0.25","0.09","1081.85"
"2.710083","-10.94","0.08","-1.33","-0.18","0.30","0.25","1081.91"
"2.7600098","-10.28","-0.75","-1.14","0.17","0.34","0.41","1081.96"
