"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.59","0.47","0.43","0.01","0.06","-0.03","981.23"
"0.050048828","-10.24","-0.20","0.43","0.05","0.08","0.02","981.28"
"0.11004639","-10.36","0.71","-0.12","0.02","0.10","0.01","981.34"
"0.16003418","-10.28","0.12","0.59","0.09","0.07","-0.06","981.39"
"0.21002197","-10.43","-0.67","1.02","0.07","0.07","-0.08","981.44"
"0.26000977","-10.32","-0.98","1.29","-0.02","0.12","0.00","981.49"
"0.32000732","-10.36","-0.59","1.06","-0.28","0.21","0.11","981.55"
"0.36999512","-10.47","0.51","-0.35","-0.11","0.19","0.13","981.60"
"0.42004395","-10.28","0.98","-0.71","0.09","0.16","0.13","981.65"
"0.47003174","-10.36","0.43","-0.51","0.27","0.10","0.08","981.70"
"0.52001953","-10.47","0.47","-0.31","0.18","0.03","0.04","981.75"
"0.5700073","-10.24","0.20","0.16","0.27","-0.03","-0.01","981.80"
"0.6300049","-10.08","-0.35","0.04","-0.02","-0.11","-0.07","981.86"
"0.6799927","-10.40","-0.27","0.12","-0.17","-0.16","-0.10","981.91"
"0.7300415","-10.16","0.39","0.08","-0.10","-0.20","-0.06","981.96"
"0.7800293","-9.89","1.49","-0.98","0.04","-0.30","-0.13","982.01"
"0.84002686","-9.06","5.69","-4.08","0.03","-0.65","-0.51","982.07"
"0.89001465","-9.85","7.41","-0.35","0.38","-0.98","-1.33","982.12"
"0.94000244","-19.73","-6.43","4.08","1.19","-1.35","-1.57","982.17"
"0.98999023","-10.08","-1.45","3.69","0.20","-0.52","-1.29","982.22"
"1.0400391","-9.81","-1.84","2.63","-0.20","0.51","-0.13","982.27"
"1.0900269","-6.00","2.08","4.75","1.19","1.24","0.31","982.32"
"1.1500244","-4.79","-2.90","5.96","2.63","1.02","-0.31","982.38"
"1.2000122","-8.94","-13.53","-2.51","2.70","-0.68","-0.71","982.43"
"1.25","-7.88","1.18","0.90","-1.32","-0.19","-0.18","982.48"
"1.3000488","-12.51","1.41","6.39","0.16","-0.90","-0.39","982.53"
"1.3600464","-10.32","-9.65","6.20","1.15","-0.86","-0.81","982.59"
"1.4100342","-15.06","-20.01","8.32","0.75","-0.50","1.15","982.64"
"1.460022","-20.01","11.22","15.65","-0.57","0.33","1.73","982.69"
"1.5100098","3.69","10.59","-20.01","1.76","-2.49","3.52","982.74"
"1.5599976","-13.93","7.06","20.01","-0.85","-6.43","-5.55","982.79"
"1.6199951","-18.87","-19.30","-3.92","-2.79","-8.16","-4.85","982.85"
"1.670044","-20.01","17.26","-6.00","-4.49","-7.46","-2.50","982.90"
"1.7200317","-20.01","-5.33","4.08","6.30","-2.12","3.00","982.95"
"1.7700195","-19.53","-20.01","19.65","3.25","13.05","8.35","983.00"
"1.8200073","-20.01","20.01","18.01","0.97","18.62","14.68","983.05"
"1.8699951","4.98","-20.01","4.98","27.95","3.66","-4.58","983.10"
"1.9299927","20.01","20.01","20.01","-3.14","2.29","-6.68","983.16"
"1.9800415","-11.69","-18.59","20.01","-0.47","-3.48","-7.70","983.21"
"2.0300293","-2.55","10.00","19.81","-4.60","-3.53","-0.76","983.26"
"2.080017","-15.49","5.02","7.49","-3.43","-4.12","-0.02","983.31"
"2.1400146","-15.97","2.08","7.96","-0.86","-3.84","-0.78","983.37"
"2.1900024","-20.01","-20.01","2.94","-3.33","-3.30","0.75","983.42"
"2.2399902","-17.10","19.85","-20.01","-16.76","1.06","5.59","983.47"
"2.290039","-8.87","-6.55","8.94","4.41","-2.11","-0.89","983.52"
"2.3400269","-11.61","-1.96","-1.88","-1.39","0.08","0.27","983.57"
"2.3900146","-7.49","9.34","2.28","-1.39","0.35","1.05","983.62"
"2.4500122","-11.26","-2.82","-3.61","-0.38","-0.35","0.31","983.68"
"2.5","-8.63","3.33","-0.47","-0.54","0.03","0.21","983.73"
"2.5500488","-10.98","3.33","-1.49","0.36","-0.19","0.16","983.78"
"2.6000366","-9.85","0.78","0.51","0.88","-0.14","0.23","983.83"
"2.6600342","-11.10","1.10","0.00","0.68","-0.16","0.49","983.89"
"2.710022","-10.47","2.04","0.94","1.16","0.05","0.49","983.94"
