"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.40","-0.16","-0.71","0.10","-0.03","-0.06","1823.27"
"0.049926758","-10.40","-0.67","-0.63","0.05","-0.08","-0.06","1823.32"
"0.099975586","-10.32","-0.43","0.16","0.01","-0.09","-0.08","1823.37"
"0.16003418","-10.47","-0.71","0.31","-0.06","-0.05","-0.08","1823.43"
"0.20996094","-10.43","-0.90","0.04","0.01","0.00","-0.04","1823.48"
"0.26000977","-10.43","-0.78","0.04","0.02","0.03","0.01","1823.53"
"0.30993652","-10.43","-0.47","-0.08","-0.02","0.04","0.04","1823.58"
"0.35998535","-10.28","-0.20","-0.20","-0.01","0.04","0.00","1823.63"
"0.41992188","-10.40","-0.67","-0.24","0.17","0.02","-0.05","1823.69"
"0.4699707","-10.51","-0.59","0.12","0.10","0.03","-0.04","1823.74"
"0.52001953","-10.40","-0.90","0.12","0.13","0.04","-0.02","1823.79"
"0.5699463","-10.40","-0.94","0.04","0.02","0.07","0.00","1823.84"
"0.6199951","-10.40","-0.55","-0.04","0.02","0.07","0.01","1823.89"
"0.6699219","-10.36","-0.82","0.04","0.07","0.07","0.01","1823.94"
"0.72998047","-10.32","-0.63","-0.20","0.04","0.08","0.02","1824.00"
"0.7800293","-10.32","-0.31","-0.12","-0.01","0.06","0.03","1824.05"
"0.82995605","-10.28","-0.78","-0.12","0.07","0.05","0.03","1824.10"
"0.8800049","-10.28","-0.82","-0.08","0.07","0.03","0.05","1824.15"
"0.9399414","-10.40","-0.90","0.27","0.08","0.03","0.09","1824.21"
"0.98999023","-10.51","-0.86","0.00","0.09","0.05","0.17","1824.26"
"1.0400391","-10.28","-0.08","-0.59","0.09","0.00","0.18","1824.31"
"1.0899658","-10.32","0.27","-0.90","0.09","-0.08","0.12","1824.36"
"1.1400146","-10.43","-0.04","-0.59","0.13","-0.22","0.01","1824.41"
"1.1899414","-10.32","0.16","-0.20","0.15","-0.35","-0.08","1824.46"
"1.25","-10.12","0.63","-0.20","0.11","-0.46","-0.20","1824.52"
"1.2999268","-10.24","1.37","-0.47","0.08","-0.63","-0.41","1824.57"
"1.3499756","-10.43","1.57","0.51","0.03","-0.89","-0.83","1824.62"
"1.4000244","-12.94","-0.78","0.39","0.36","-1.02","-1.29","1824.67"
"1.4499512","-10.71","-2.00","2.79","0.53","-0.93","-1.25","1824.72"
"1.5100098","-8.98","-4.31","3.84","1.22","-0.38","-1.10","1824.78"
"1.5599365","-7.53","-3.77","3.14","-0.16","0.44","-0.21","1824.83"
"1.6099854","-5.57","-3.26","4.20","-0.75","0.53","0.37","1824.88"
"1.6600342","-1.96","-5.45","8.04","-0.17","0.57","0.60","1824.93"
"1.7199707","-10.51","-9.53","1.92","-1.18","-0.22","0.66","1824.99"
"1.7700195","-16.51","3.88","2.90","0.05","-0.27","-0.73","1825.04"
"1.8199463","-3.92","-8.51","1.69","0.96","-0.54","-1.17","1825.09"
"1.8699951","-17.30","-9.06","6.08","0.26","-0.27","0.22","1825.14"
"1.9199219","-16.59","-4.79","11.92","0.04","0.18","1.03","1825.19"
"1.9799805","-12.43","9.69","3.45","-0.56","0.13","1.67","1825.25"
"2.0300293","0.67","-8.67","4.31","-4.30","-2.19","1.12","1825.30"
"2.079956","-8.39","8.71","8.94","-3.89","-3.80","-2.85","1825.35"
"2.130005","-15.81","2.28","-4.12","1.99","-4.06","-2.14","1825.40"
"2.1799316","-20.01","3.53","-11.81","-0.37","-2.91","1.18","1825.45"
"2.2399902","-20.01","0.39","-9.73","3.75","3.04","3.12","1825.51"
"2.290039","-20.01","-20.01","12.79","5.48","10.04","5.68","1825.56"
"2.3399658","-13.34","20.01","-5.22","4.80","13.00","6.93","1825.61"
"2.3900146","-18.91","-4.75","15.69","-9.36","8.96","1.19","1825.66"
"2.4399414","-5.10","-5.41","15.42","-3.76","5.06","-0.67","1825.71"
"2.5","-9.65","-20.01","12.24","-2.68","1.86","-2.89","1825.77"
"2.5499268","0.04","-0.59","15.93","-3.11","1.82","-1.76","1825.82"
"2.5999756","2.24","-10.12","9.77","-1.10","1.09","-1.90","1825.87"
"2.6500244","-2.47","-0.39","7.41","-1.87","0.05","-3.11","1825.92"
"2.6999512","-5.69","0.00","5.65","-1.02","-1.06","-3.63","1825.97"
"2.7600098","-10.55","-1.88","5.14","0.29","-1.66","-3.76","1826.03"
"2.8099365","-15.14","-1.57","3.30","-0.11","-1.74","-3.19","1826.08"
"2.8599854","-13.81","-1.49","6.43","0.11","-1.64","-2.90","1826.13"
"2.9100342","-15.61","-2.35","5.57","0.96","-1.16","-2.63","1826.18"
"2.959961","-20.01","-4.63","-18.32","-1.63","-1.14","-1.00","1826.23"
"3.0200195","-19.18","20.01","-19.06","-2.83","2.37","3.18","1826.29"
"3.0699463","2.94","6.59","-13.77","2.51","-0.01","-1.77","1826.34"
"3.119995","-10.63","10.24","7.14","-2.65","-0.07","0.70","1826.39"
"3.1699219","-11.06","1.10","-2.63","-0.06","-0.37","-0.21","1826.44"
"3.2199707","-10.75","1.29","-1.45","-0.23","-0.42","-0.24","1826.49"
