"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.14","-1.33","0.43","0.80","-0.56","-1.86","1354.39"
"0.049926758","-16.24","7.34","-1.22","-0.38","0.15","-0.47","1354.44"
"0.099975586","-4.55","6.43","3.49","-2.26","0.22","0.62","1354.49"
"0.15002441","-9.14","8.79","-1.96","-0.34","0.13","0.73","1354.54"
"0.19995117","-13.45","-1.18","-4.71","1.20","0.03","0.06","1354.59"
"0.26000977","-10.04","4.90","1.10","0.48","0.20","0.02","1354.65"
"0.30993652","-9.92","0.51","-0.90","-0.03","-0.20","-0.09","1354.70"
"0.35998535","-11.26","4.12","-0.98","-0.25","-0.06","-0.15","1354.75"
"0.41003418","-10.32","5.37","-0.71","0.19","-0.18","-0.46","1354.80"
"0.45996094","-9.73","4.24","0.24","0.52","-0.32","-0.84","1354.85"
"0.52001953","-9.34","0.31","0.55","0.83","-0.50","-1.22","1354.91"
"0.5699463","-7.69","-2.47","2.28","1.61","-0.69","-1.97","1354.96"
"0.6199951","-9.10","-5.65","0.86","0.26","-1.10","-1.87","1355.01"
"0.67004395","-7.53","-0.20","2.24","-0.29","-0.69","-1.80","1355.06"
"0.7199707","-10.12","0.43","-0.98","0.94","-0.23","-1.14","1355.11"
"0.77001953","-15.22","-8.51","2.98","-0.82","0.04","0.92","1355.16"
"0.82995605","-11.61","2.12","1.02","-0.60","-0.15","-0.33","1355.22"
"0.8800049","-9.65","-3.92","1.80","0.31","-0.24","-0.06","1355.27"
"0.92993164","-9.34","-5.10","0.78","0.28","-0.17","0.08","1355.32"
"0.97998047","-10.12","-1.02","1.02","-0.13","-0.22","0.20","1355.37"
"1.0400391","-9.34","1.29","1.18","0.16","-0.38","0.03","1355.43"
"1.0899658","-9.53","-1.57","1.06","0.46","-0.72","-0.22","1355.48"
"1.1400146","-9.77","-4.47","6.08","0.56","-0.87","-0.25","1355.53"
"1.1899414","-15.02","-2.51","7.77","0.88","-0.62","0.02","1355.58"
"1.2399902","-8.55","4.28","11.96","-0.54","-0.81","0.52","1355.63"
"1.2999268","-10.63","-8.67","13.77","-1.19","-2.49","-0.32","1355.69"
"1.3499756","-5.92","-5.61","15.53","0.36","-5.34","-5.20","1355.74"
"1.4000244","-7.06","-8.36","12.91","0.83","-6.88","-4.98","1355.79"
"1.4499512","-0.90","1.53","6.43","0.72","-7.05","-3.71","1355.84"
"1.5","-18.12","0.12","-0.16","2.28","-6.86","-0.55","1355.89"
"1.5499268","-20.01","-4.86","-2.39","1.37","-3.65","2.72","1355.94"
"1.6099854","-20.01","-9.34","12.24","3.28","2.97","4.47","1356.00"
"1.6600342","-20.01","-20.01","20.01","2.18","12.30","7.11","1356.05"
"1.7099609","-11.41","-20.01","20.01","-6.63","16.66","10.56","1356.10"
"1.7600098","-20.01","20.01","20.01","17.03","12.30","10.04","1356.15"
"1.8199463","-20.01","17.22","9.45","3.99","7.88","-7.85","1356.21"
"1.8699951","-19.18","-7.34","10.28","-2.32","0.01","-8.49","1356.26"
"1.920044","-8.71","4.39","12.24","-5.52","-2.23","-5.82","1356.31"
"1.9699707","6.35","6.86","14.36","-1.03","-3.00","-4.55","1356.36"
"2.0200195","-8.00","-3.02","7.41","1.24","-4.27","-2.39","1356.41"
"2.079956","-7.26","-2.55","4.08","0.30","-4.11","-0.97","1356.47"
"2.130005","-11.73","-4.39","3.02","-0.65","-3.04","0.40","1356.52"
"2.1799316","-16.83","-3.45","-0.04","-1.78","-2.25","0.95","1356.57"
"2.2299805","-14.98","0.67","-1.88","-1.69","-1.42","1.23","1356.62"
"2.2800293","-20.01","-2.63","-4.47","-1.05","-0.90","1.22","1356.67"
"2.329956","-16.16","7.49","-5.61","0.05","0.28","1.02","1356.72"
"2.3900146","-12.55","2.63","-4.47","3.24","0.81","0.20","1356.78"
"2.4399414","-13.77","-4.39","-7.18","1.73","0.49","0.14","1356.83"
"2.4899902","-9.73","-1.29","-2.67","-0.37","-0.12","-0.14","1356.88"
"2.540039","-9.89","-3.10","-0.55","-1.68","-0.42","-0.01","1356.93"
"2.5899658","-10.47","-0.39","-0.71","-0.93","-0.23","-0.23","1356.98"
