"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-8.51","-1.69","0.94","1.05","0.38","-0.85","619.31"
"0.049987793","-9.61","-1.65","0.59","0.51","-0.08","-0.99","619.36"
"0.10998535","-18.67","2.00","-6.86","-2.71","-0.16","0.88","619.42"
"0.15997314","-11.18","-2.16","1.10","0.83","-0.50","-0.43","619.47"
"0.21002197","-8.24","-10.59","0.12","-1.35","-0.23","0.24","619.52"
"0.26000977","-13.10","8.36","-0.67","-1.69","0.06","0.48","619.57"
"0.30999756","-10.79","-0.04","-1.45","0.35","0.09","-0.24","619.62"
"0.36999512","-10.71","-2.63","0.55","0.75","-0.04","-0.34","619.68"
"0.4199829","-10.59","-1.65","0.16","0.98","0.05","-0.07","619.73"
"0.47003174","-10.00","-1.26","-0.90","0.96","0.10","0.10","619.78"
"0.52001953","-11.22","4.71","-1.61","0.71","-0.04","-0.16","619.83"
"0.5800171","-11.65","0.31","-0.04","0.67","-0.22","-0.81","619.89"
"0.6300049","-11.65","1.14","3.10","0.91","-0.16","-1.05","619.94"
"0.6799927","-13.26","-1.77","3.22","1.40","-0.24","-1.13","619.99"
"0.72998047","-6.90","-6.12","2.59","0.22","-0.36","-1.13","620.04"
"0.7800293","-5.30","-10.51","1.22","-1.18","-1.10","-0.53","620.09"
"0.8300171","-6.16","3.57","0.94","-0.16","-0.86","-0.84","620.14"
"0.89001465","-4.94","-8.98","4.79","3.39","-0.68","-0.19","620.20"
"0.94000244","-5.73","-9.02","2.08","0.69","-0.64","-0.29","620.25"
"0.98999023","-10.75","3.26","-3.80","-1.28","-0.43","-0.31","620.30"
"1.039978","-20.01","0.20","-3.96","0.36","0.64","0.43","620.35"
"1.0900269","-10.12","-12.87","1.29","-0.22","0.12","-0.94","620.40"
"1.1500244","-9.41","-2.94","2.28","-0.59","-0.15","-0.73","620.46"
"1.2000122","-4.79","-12.83","2.94","-0.05","-0.21","-0.68","620.51"
"1.25","-15.81","-8.63","5.53","-0.30","-0.22","0.81","620.56"
"1.2999878","-20.01","2.04","10.71","0.99","-0.26","1.43","620.61"
"1.3499756","-3.80","18.36","2.12","2.79","-1.02","-0.14","620.66"
"1.4099731","-15.93","-19.38","12.67","-6.05","-5.73","-4.19","620.72"
"1.460022","-20.01","13.06","1.96","-7.39","-7.29","-6.51","620.77"
"1.5100098","-20.01","18.51","-7.88","-0.65","-3.45","-4.63","620.82"
"1.5599976","-20.01","-4.67","-4.28","7.71","1.67","1.92","620.87"
"1.6099854","-20.01","-2.82","0.20","3.23","11.66","10.86","620.92"
"1.6699829","-20.01","-20.01","20.01","7.34","13.94","8.67","620.98"
"1.7200317","-7.14","8.94","20.01","-5.05","7.40","2.96","621.03"
"1.7700195","-12.71","-12.04","20.01","2.18","3.71","0.20","621.08"
"1.8200073","-5.84","-2.86","10.90","-5.47","2.00","0.69","621.13"
"1.8699951","-3.65","1.41","5.22","-0.36","1.59","1.24","621.18"
"1.9299927","-1.69","-7.92","6.71","0.69","0.97","0.21","621.24"
"1.9799805","-2.86","-1.69","5.57","-1.49","-0.39","-0.32","621.29"
"2.0300293","-6.55","-2.16","2.55","-1.31","-1.56","-1.82","621.34"
"2.080017","-8.63","-1.22","2.39","-1.00","-2.18","-2.96","621.39"
"2.1400146","-12.47","-0.08","2.79","-1.06","-2.77","-3.53","621.45"
"2.1900024","-14.51","-0.63","4.08","-1.15","-2.94","-3.87","621.50"
"2.2399902","-14.95","-2.51","4.63","-1.19","-3.21","-3.46","621.55"
"2.289978","-11.77","-7.10","4.86","-1.98","-2.67","-3.06","621.60"
"2.3400269","-14.00","-2.98","9.92","-2.78","-1.70","-1.87","621.65"
"2.4000244","-20.01","14.20","3.18","-2.32","1.65","4.48","621.71"
"2.4500122","-3.45","-2.71","0.55","0.20","1.18","0.16","621.76"
"2.5","-5.88","0.20","3.84","1.68","0.86","-0.58","621.81"
"2.5499878","-7.45","-10.36","0.55","0.84","0.46","-0.28","621.86"
"2.5999756","-9.45","0.75","-0.98","-1.06","0.32","0.27","621.91"
"2.6599731","-12.36","-0.43","2.90","0.13","0.26","-0.11","621.97"
"2.710022","-8.98","-3.06","1.18","-0.53","0.33","-0.08","622.02"
"2.7600098","-11.02","-1.22","1.41","-0.38","0.32","0.21","622.07"
"2.8099976","-9.96","-1.96","1.06","-0.11","0.34","0.12","622.12"
"2.8599854","-9.85","-2.55","0.82","0.10","0.34","0.23","622.17"
"2.919983","-10.24","-2.20","0.63","-0.25","0.31","0.35","622.23"
"2.9700317","-10.16","-1.18","0.43","-0.30","0.28","0.42","622.28"
"3.0200195","-10.75","-0.94","-0.27","-0.32","0.31","0.42","622.33"
"3.0700073","-9.89","-0.82","-0.20","-0.18","0.27","0.39","622.38"
"3.119995","-10.20","-0.90","-0.16","-0.21","0.16","0.32","622.43"
"3.169983","-10.55","0.78","-0.16","0.22","0.07","0.20","622.48"
"3.2299805","-10.28","-1.45","-0.71","0.31","0.07","0.12","622.54"
