"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.89","-1.26","0.82","0.09","-0.19","-0.24","1901.27"
"0.049926758","-9.96","-2.63","1.22","0.16","-0.26","-0.23","1901.32"
"0.099975586","-10.04","-2.63","1.96","0.25","-0.16","-0.06","1901.37"
"0.15002441","-10.36","-2.94","0.55","0.21","-0.20","0.11","1901.42"
"0.20996094","-10.55","-1.06","0.35","0.09","-0.25","0.16","1901.48"
"0.26000977","-10.90","0.04","-0.27","0.17","-0.47","0.04","1901.53"
"0.30993652","-11.06","1.45","1.22","0.37","-0.69","-0.30","1901.58"
"0.35998535","-10.24","-0.24","0.43","0.17","-1.00","-0.70","1901.63"
"0.41992188","-10.47","-2.08","0.82","-0.36","-1.18","-1.07","1901.69"
"0.4699707","-10.08","-5.18","2.51","0.50","-0.90","-1.01","1901.74"
"0.52001953","-8.83","-4.39","2.24","0.25","0.35","0.20","1901.79"
"0.5699463","-8.94","-3.26","3.22","-0.55","1.24","0.87","1901.84"
"0.6199951","-8.71","-2.39","3.92","-0.90","1.54","1.12","1901.89"
"0.67993164","-8.51","-1.92","3.53","-0.25","1.46","1.05","1901.95"
"0.72998047","-7.81","-4.94","4.59","0.03","0.97","0.64","1902.00"
"0.7800293","-7.96","-8.04","12.28","-1.31","-0.65","-0.05","1902.05"
"0.82995605","-14.75","2.31","-1.65","-1.85","-0.20","0.21","1902.10"
"0.8800049","-9.14","-7.34","2.39","1.48","-0.30","-0.17","1902.15"
"0.9399414","-10.12","3.18","0.71","-1.15","0.06","-0.20","1902.21"
"0.98999023","-10.32","-1.73","-0.12","0.59","-0.37","-0.60","1902.26"
"1.0400391","-9.96","-3.92","2.12","-0.02","-0.34","-0.50","1902.31"
"1.0899658","-10.16","-3.10","2.82","-0.06","-0.27","-0.25","1902.36"
"1.1400146","-10.28","-2.00","2.28","0.16","-0.24","-0.14","1902.41"
"1.1999512","-11.41","-1.37","0.59","0.39","-0.44","-0.23","1902.47"
"1.25","-12.47","3.77","-2.79","0.23","-1.02","-0.80","1902.52"
"1.2999268","-18.12","3.65","-2.98","0.12","-1.97","-2.09","1902.57"
"1.3499756","-14.47","-3.84","-4.71","-0.66","-2.81","-2.46","1902.62"
"1.4000244","-14.59","-1.10","-4.31","1.28","-2.16","-2.59","1902.67"
"1.4599609","-14.95","-3.18","2.12","0.06","0.44","0.69","1902.73"
"1.5100098","-7.69","-0.16","6.75","0.44","2.87","2.02","1902.78"
"1.5599365","-7.53","-9.45","9.10","0.14","3.59","3.69","1902.83"
"1.6099854","-1.22","-10.32","11.02","-0.66","3.75","4.40","1902.88"
"1.6600342","3.18","-8.04","11.49","-0.97","1.26","1.05","1902.93"
"1.7099609","7.30","-20.01","7.06","1.43","-1.21","-1.42","1902.98"
"1.7700195","7.18","-8.87","4.28","-1.28","-1.11","1.23","1903.04"
"1.8199463","-15.22","-19.06","10.32","2.06","-1.41","-1.72","1903.09"
"1.8699951","-19.77","-16.71","13.49","0.18","0.08","1.35","1903.14"
"1.9199219","-17.69","20.01","-7.22","-1.55","0.53","4.14","1903.19"
"1.9799805","4.04","-17.81","2.51","0.10","-3.68","-2.62","1903.25"
"2.0300293","-20.01","3.02","3.02","-2.00","-7.03","-6.96","1903.30"
"2.079956","-17.38","7.49","-5.88","0.57","-5.22","-4.50","1903.35"
"2.130005","-20.01","9.49","-16.40","-0.00","-3.22","-0.63","1903.40"
"2.1799316","-20.01","-8.00","0.82","4.34","3.93","3.22","1903.45"
"2.2399902","-20.01","-20.01","20.01","8.04","13.95","5.42","1903.51"
"2.290039","-20.01","20.01","20.01","-6.83","19.45","11.24","1903.56"
"2.3399658","9.96","-20.01","20.01","5.53","9.28","1.62","1903.61"
"2.3900146","-14.20","12.28","20.01","-3.09","4.20","-4.91","1903.66"
"2.4399414","-5.73","-19.97","20.01","-0.07","0.99","-6.07","1903.71"
"2.5","-2.75","0.67","20.01","-7.14","-0.56","-3.67","1903.77"
"2.5499268","-6.43","-0.16","16.00","1.99","-3.39","-6.31","1903.82"
"2.5999756","-14.51","-11.73","10.55","1.24","-5.76","-4.84","1903.87"
"2.6500244","-4.86","-10.20","19.97","-4.04","-4.35","-2.31","1903.92"
"2.6999512","20.01","20.01","18.20","-9.92","5.11","2.16","1903.97"
"2.7600098","-20.01","4.98","16.91","-1.20","-0.65","-3.56","1904.03"
