"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.24","2.04","-0.90","0.02","-0.02","-0.01","1371.96"
"0.050048828","-10.16","1.69","-0.90","0.09","-0.03","-0.05","1372.01"
"0.10998535","-10.63","1.92","-0.90","0.00","-0.07","-0.12","1372.07"
"0.16003418","-10.24","1.57","-0.82","0.03","-0.09","-0.17","1372.12"
"0.21008301","-10.28","1.33","-0.39","0.09","-0.09","-0.22","1372.17"
"0.26000977","-10.24","1.02","-0.71","-0.06","-0.16","-0.25","1372.22"
"0.3100586","-11.26","3.88","-0.94","-0.03","-0.30","-0.51","1372.27"
"0.36999512","-10.55","1.14","-0.98","0.36","-0.36","-0.90","1372.33"
"0.42004395","-10.94","-1.29","0.47","-0.27","-0.37","-1.15","1372.38"
"0.47009277","-8.63","1.26","2.59","-0.13","-0.35","-1.31","1372.43"
"0.52001953","-7.96","-0.39","3.69","1.09","-0.61","-1.38","1372.48"
"0.57006836","-6.83","-4.04","4.28","1.17","-0.90","-1.38","1372.53"
"0.6300049","-6.39","-3.41","4.55","0.69","-1.08","-1.42","1372.59"
"0.6800537","-6.55","-0.94","3.73","1.50","-0.95","-1.63","1372.64"
"0.72998047","-19.22","-8.36","-6.86","2.15","-0.22","-0.34","1372.69"
"0.7800293","-5.10","3.65","8.43","0.45","0.15","-1.22","1372.74"
"0.8300781","-12.55","-9.22","1.49","1.07","-0.24","0.00","1372.79"
"0.89001465","-13.10","-16.59","6.08","0.92","-0.35","0.74","1372.85"
"0.9400635","-16.00","15.46","9.26","-0.94","-0.25","0.57","1372.90"
"0.98999023","-1.45","8.75","-7.61","-0.20","-2.25","1.86","1372.95"
"1.0400391","-8.79","13.96","18.51","-1.66","-4.96","-3.39","1373.00"
"1.0900879","-14.32","-20.01","-4.59","-0.07","-7.42","-4.48","1373.05"
"1.1500244","-20.01","-1.88","-17.34","-3.87","-7.87","-1.51","1373.11"
"1.2000732","-20.01","-11.02","6.55","5.53","-2.44","2.65","1373.16"
"1.25","-18.48","-20.01","20.01","1.50","14.38","10.38","1373.21"
"1.3000488","-20.01","-20.01","20.01","-3.81","18.28","14.74","1373.26"
"1.3500977","-16.67","-20.01","20.01","34.59","14.67","-0.05","1373.31"
"1.4100342","-20.01","20.01","20.01","-11.01","-1.85","-12.08","1373.37"
"1.460083","-19.46","-12.83","-3.10","-7.71","-4.12","-9.31","1373.42"
"1.5100098","9.38","20.01","20.01","-5.82","-2.07","-4.91","1373.47"
"1.5600586","-5.02","-17.53","20.01","3.87","-4.53","-2.90","1373.52"
"1.6099854","-10.94","-9.61","3.65","-2.41","-3.32","-1.56","1373.57"
"1.670044","-7.18","2.28","2.98","-3.20","-2.59","-1.15","1373.63"
"1.7200928","-10.63","-0.39","3.22","0.03","-2.88","1.01","1373.68"
"1.7700195","-12.79","-13.34","3.69","-1.38","-2.19","1.68","1373.73"
"1.8200684","-14.91","1.80","4.31","-4.84","-1.32","1.19","1373.78"
"1.8699951","-20.01","20.01","-19.42","-4.73","-0.99","0.52","1373.83"
"1.9300537","4.51","17.34","15.46","0.52","0.41","1.15","1373.89"
"1.9799805","-15.46","-9.65","-5.33","3.37","-0.10","-1.19","1373.94"
"2.0300293","-9.26","-5.06","-1.73","0.38","0.38","0.29","1373.99"
"2.0800781","-11.92","-0.82","-3.73","-0.46","0.17","-0.14","1374.04"
"2.130005","-9.61","2.55","-1.57","-1.69","0.16","0.38","1374.09"
"2.1800537","-11.10","3.65","-1.22","-0.78","0.07","-0.25","1374.14"
"2.2399902","-9.81","-0.82","-0.59","0.75","0.08","-0.24","1374.20"
"2.290039","-10.75","-0.78","-1.65","1.04","0.16","-0.32","1374.25"
"2.340088","-10.51","-3.92","-1.37","0.61","0.11","-0.19","1374.30"
"2.3900146","-10.16","-3.14","-1.53","-0.44","0.16","0.09","1374.35"
"2.4500732","-10.71","0.98","-2.04","-0.80","0.15","0.15","1374.41"
"2.5","-10.20","-0.16","-1.37","-0.05","0.11","0.08","1374.46"
"2.5500488","-10.47","-1.69","-1.33","-0.02","0.12","0.06","1374.51"
"2.6000977","-10.43","1.18","-2.39","-0.59","0.17","0.05","1374.56"
"2.6500244","-10.47","0.43","-1.84","0.12","0.15","-0.02","1374.61"
"2.710083","-10.28","-2.59","-1.92","0.15","0.12","-0.06","1374.67"
"2.7600098","-10.43","-1.53","-1.45","-0.30","0.18","0.05","1374.72"
"2.8100586","-10.47","-0.47","-1.92","-0.31","0.21","0.13","1374.77"
