"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.12","-2.04","0.20","-0.07","0.07","-0.03","387.71"
"0.05001831","-9.89","-3.33","0.24","0.01","0.07","-0.06","387.76"
"0.1000061","-9.85","-2.47","0.43","-0.08","0.06","-0.01","387.81"
"0.1499939","-9.73","-1.88","0.55","-0.14","0.05","0.00","387.86"
"0.2000122","-9.69","-2.55","0.08","0.25","0.05","-0.12","387.91"
"0.25","-10.20","-1.69","0.08","0.05","-0.01","-0.15","387.96"
"0.30999756","-10.16","-3.53","0.08","0.20","0.00","-0.18","388.02"
"0.36001587","-10.04","-2.39","0.59","0.02","-0.03","-0.11","388.07"
"0.41000366","-10.04","-3.18","0.43","0.26","-0.03","-0.14","388.12"
"0.46002197","-9.77","-3.06","0.86","0.14","-0.03","-0.05","388.17"
"0.52001953","-9.34","-1.77","-0.16","0.27","-0.05","-0.13","388.23"
"0.5700073","-10.04","-3.37","0.51","0.27","-0.12","-0.11","388.28"
"0.6199951","-9.81","-1.96","-0.67","0.30","-0.26","-0.31","388.33"
"0.6700134","-9.26","-4.75","0.90","0.05","-0.44","-0.26","388.38"
"0.7200012","-9.61","-1.26","1.37","0.04","-0.57","-0.27","388.43"
"0.7799988","-9.57","-2.63","0.55","0.26","-0.63","-0.51","388.49"
"0.8300171","-14.40","-0.12","2.75","0.59","-0.77","-1.00","388.54"
"0.8800049","-17.14","3.53","8.51","0.43","-1.26","-1.66","388.59"
"0.9300232","-10.04","-7.41","4.16","-0.45","-1.84","-1.70","388.64"
"0.980011","-8.12","-10.67","6.47","-1.33","-3.37","-1.81","388.69"
"1.0400085","-4.51","-4.51","1.69","0.19","-3.58","-2.15","388.75"
"1.0899963","-6.75","-7.69","1.37","-0.55","-4.11","-0.13","388.80"
"1.1400146","-12.36","-2.63","-5.33","-1.29","-3.30","0.68","388.85"
"1.1900024","-11.77","3.30","-7.14","0.20","-0.72","2.75","388.90"
"1.2400208","-20.01","1.80","-4.71","4.85","3.09","5.68","388.95"
"1.2900085","-20.01","-19.97","15.69","5.79","7.92","4.99","389.00"
"1.3500061","-20.01","-7.41","17.26","-3.51","10.59","5.34","389.06"
"1.3999939","-12.28","-5.18","8.08","0.35","6.63","2.93","389.11"
"1.4500122","-12.75","-9.69","10.94","-4.41","2.34","2.48","389.16"
"1.5","-11.89","13.18","2.94","-7.06","0.59","1.49","389.21"
"1.5500183","-7.61","-0.78","3.92","-1.43","1.01","1.10","389.26"
"1.6100159","-6.04","0.24","3.22","-1.30","1.09","1.10","389.32"
"1.6600037","-5.30","1.69","2.75","-0.51","0.74","0.34","389.37"
"1.710022","-5.18","2.08","3.57","0.39","0.36","-0.40","389.42"
"1.7600098","-4.82","-0.24","3.41","0.53","-0.13","-0.75","389.47"
"1.8099976","-8.71","2.63","1.22","-0.32","-0.56","-0.99","389.52"
