"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.43","0.71","-1.10","0.02","0.17","0.16","1851.40"
"0.049926758","-10.40","0.75","-0.63","0.11","0.10","0.13","1851.45"
"0.10998535","-10.36","0.51","-0.67","-0.01","0.04","0.08","1851.51"
"0.16003418","-10.47","0.27","-0.78","-0.20","0.04","0.06","1851.56"
"0.20996094","-10.47","0.75","-0.94","-0.36","0.01","0.07","1851.61"
"0.26000977","-10.47","0.24","-0.67","-0.27","-0.07","0.03","1851.66"
"0.30993652","-10.36","0.82","-1.14","-0.39","-0.11","0.04","1851.71"
"0.36999512","-10.12","1.37","-0.39","-0.02","-0.21","-0.02","1851.77"
"0.41992188","-10.63","0.90","0.39","0.27","-0.22","-0.08","1851.82"
"0.4699707","-10.32","1.73","-0.43","0.04","-0.25","-0.16","1851.87"
"0.52001953","-10.63","2.31","-0.08","0.19","-0.42","-0.48","1851.92"
"0.5699463","-10.55","0.31","2.75","0.81","-0.45","-0.77","1851.97"
"0.6300049","-10.24","-4.08","2.28","0.74","-0.35","-0.69","1852.03"
"0.67993164","-8.24","-1.73","3.45","1.04","-0.52","-1.01","1852.08"
"0.72998047","-8.47","-4.90","3.06","0.19","-0.62","-0.70","1852.13"
"0.7800293","-10.63","1.18","0.59","-0.86","-0.19","-0.13","1852.18"
"0.82995605","-12.83","-2.51","-0.75","-0.45","0.36","0.63","1852.23"
"0.89001465","-8.47","1.06","3.02","0.19","0.20","0.29","1852.29"
"0.9399414","-10.43","-1.14","-0.86","-0.21","-0.02","-0.14","1852.34"
"0.98999023","-10.20","1.37","1.18","-0.26","-0.02","-0.23","1852.39"
"1.039917","-10.43","-2.47","0.47","0.22","-0.21","-0.33","1852.44"
"1.0899658","-10.83","-0.63","-0.20","0.11","-0.29","-0.20","1852.49"
"1.1500244","-9.57","3.53","-2.31","0.11","-0.68","-0.47","1852.55"
"1.1999512","-12.75","7.34","-3.57","0.07","-1.48","-1.67","1852.60"
"1.25","-20.01","6.51","-3.30","-0.03","-2.89","-3.61","1852.65"
"1.2999268","-5.33","-19.81","4.12","-0.45","-2.68","-2.70","1852.70"
"1.3499756","-16.12","3.57","2.75","0.16","-0.70","-0.63","1852.75"
"1.4100342","-10.59","-3.88","5.92","1.54","1.61","1.79","1852.81"
"1.4599609","-6.59","-4.75","7.92","-0.27","3.11","3.88","1852.86"
"1.5100098","-1.96","-8.75","11.53","-0.60","3.02","4.91","1852.91"
"1.5599365","7.34","-9.81","15.38","-0.91","1.14","2.13","1852.96"
"1.6099854","12.98","-20.01","16.48","0.37","-1.27","0.31","1853.01"
"1.6699219","20.01","-13.73","17.97","-2.78","0.67","3.46","1853.07"
"1.7199707","-19.97","-17.34","15.61","2.80","-1.86","-2.46","1853.12"
"1.7700195","-14.16","-19.26","11.41","0.25","-0.02","1.27","1853.17"
"1.8199463","-20.01","20.01","-1.69","-2.93","0.27","4.03","1853.22"
"1.8699951","-2.98","-8.04","11.30","-4.26","-3.78","-2.48","1853.27"
"1.9299316","-16.12","18.28","9.26","-3.53","-6.69","-7.38","1853.33"
"1.9799805","-20.01","10.24","-9.89","1.46","-5.15","-4.54","1853.38"
"2.0300293","-20.01","7.30","-19.65","3.22","-0.66","0.24","1853.43"
"2.079956","-20.01","-13.89","7.77","6.74","9.71","5.74","1853.48"
"2.130005","-20.01","-20.01","20.01","1.06","20.18","6.95","1853.53"
"2.1899414","-20.01","-20.01","4.51","12.83","13.15","3.40","1853.59"
"2.2399902","-20.01","20.01","20.01","-10.49","7.79","-5.48","1853.64"
"2.289917","-7.06","-8.04","7.96","1.79","-0.28","-6.53","1853.69"
"2.3399658","-3.10","-3.77","20.01","-5.09","-1.80","-4.78","1853.74"
"2.3900146","-3.96","9.06","20.01","-2.66","-2.56","-4.81","1853.79"
"2.4499512","-11.81","-6.63","17.93","-0.28","-5.69","-3.77","1853.85"
"2.5","-20.01","20.01","-20.01","-19.22","4.86","4.26","1853.90"
"2.5499268","15.14","-20.01","-11.57","11.09","-0.33","12.37","1853.95"
"2.5999756","-19.81","7.02","5.22","-4.84","-0.99","-2.33","1854.00"
"2.6500244","-15.18","19.53","8.16","-4.82","-0.09","1.16","1854.05"
"2.709961","-12.28","-11.02","-1.37","1.84","-0.71","0.21","1854.11"
"2.7600098","-9.92","4.55","-1.02","-1.73","0.49","0.48","1854.16"
"2.8099365","-10.63","1.41","-2.12","0.32","0.10","0.47","1854.21"
"2.8599854","-10.00","-1.92","-1.26","-0.41","0.21","0.53","1854.26"
"2.9100342","-10.32","2.86","-1.73","-0.27","0.32","0.56","1854.31"
"2.9699707","-10.16","-0.08","-1.53","0.18","0.30","0.63","1854.37"
"3.0200195","-10.00","-0.55","-2.20","-0.49","0.36","0.84","1854.42"
"3.0699463","-11.06","2.24","-1.80","-0.27","0.54","1.08","1854.47"
"3.119995","-12.24","-2.86","-4.82","-0.67","0.53","0.99","1854.52"
