"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.57","2.79","0.27","-0.01","0.47","0.24","588.48"
"0.050048828","-20.01","-5.49","-2.86","1.27","0.39","0.94","588.53"
"0.10003662","-5.30","0.59","2.67","-1.05","0.59","0.81","588.58"
"0.15002441","-11.92","1.96","-1.92","0.23","0.33","0.30","588.63"
"0.2000122","-9.92","-2.00","0.78","0.48","0.05","-0.01","588.68"
"0.26000977","-10.71","1.26","-0.75","0.32","-0.07","-0.14","588.74"
"0.30999756","-9.77","4.24","-0.35","0.40","-0.37","-0.54","588.79"
"0.3600464","-14.59","2.86","-0.90","0.07","-1.04","-1.96","588.84"
"0.41003418","-17.57","-6.59","2.63","0.28","-0.93","-2.23","588.89"
"0.47003174","-10.36","-2.79","0.86","-0.90","-0.20","-1.22","588.95"
"0.52001953","-5.30","-2.24","1.26","0.01","0.41","0.72","589.00"
"0.5700073","-4.55","-6.51","3.69","0.41","0.55","1.89","589.05"
"0.6199951","-8.12","-5.37","1.41","-0.68","0.41","1.57","589.10"
"0.67004395","-1.77","-5.81","2.31","1.23","0.38","-0.88","589.15"
"0.7300415","-16.75","-6.75","6.08","-0.16","-0.57","-0.79","589.21"
"0.7800293","7.69","-11.02","1.73","-0.98","-0.10","-1.65","589.26"
"0.8300171","-8.04","-9.81","5.96","-1.02","-0.61","-0.18","589.31"
"0.8800049","-15.77","-20.01","7.77","0.60","-0.63","1.04","589.36"
"0.9299927","-20.01","20.01","11.57","2.36","-0.32","1.76","589.41"
"0.98999023","9.73","-14.32","11.06","2.37","-2.16","-0.82","589.47"
"1.0400391","-19.34","-19.34","7.65","-1.77","-8.37","-7.92","589.52"
"1.0900269","-20.01","20.01","-1.92","-7.15","-7.14","-8.29","589.57"
"1.1400146","-20.01","1.53","-5.45","5.00","-2.83","-5.00","589.62"
"1.1900024","-20.01","-18.55","-6.43","3.11","6.27","7.60","589.67"
"1.25","-20.01","-12.12","20.01","6.20","13.73","19.85","589.73"
"1.3000488","-20.01","20.01","16.51","14.96","14.00","6.24","589.78"
"1.3500366","-20.01","15.38","20.01","2.67","6.85","0.84","589.83"
"1.4000244","-8.36","-3.92","14.67","-1.30","4.08","-2.18","589.88"
"1.4500122","-1.26","-1.73","18.28","-1.70","1.07","2.12","589.93"
"1.5","-2.59","1.22","12.83","-2.31","-0.89","0.53","589.98"
"1.5599976","-2.20","-9.96","7.69","-0.78","-2.54","-1.33","590.04"
"1.6100464","-18.01","-4.67","6.04","-5.51","-5.16","-3.68","590.09"
"1.6600342","-20.01","1.57","5.45","-3.48","-5.86","-5.41","590.14"
"1.710022","-20.01","-16.12","1.33","-0.73","-5.76","-7.00","590.19"
"1.7600098","-20.01","-11.77","-2.59","-2.14","-3.99","-7.79","590.24"
"1.8200073","-14.75","-10.47","-2.55","-1.29","-1.28","-7.37","590.30"
"1.8699951","-20.01","11.14","3.53","-0.01","2.83","-4.51","590.35"
"1.920044","-10.00","-7.61","-3.73","-3.17","0.11","-1.28","590.40"
"1.9700317","-20.01","20.01","-14.40","6.54","-2.31","-0.46","590.45"
"2.0300293","-6.63","2.31","-1.65","-3.05","-0.26","0.61","590.51"
"2.080017","-9.69","-8.08","4.67","-0.61","0.15","2.13","590.56"
"2.130005","-7.73","0.59","4.82","-1.16","-0.27","1.12","590.61"
"2.1799927","-7.45","-9.30","-1.49","1.12","-0.25","1.75","590.66"
"2.2300415","-7.30","6.59","-2.67","-0.57","-0.21","1.60","590.71"
"2.290039","-7.69","-2.43","-0.12","0.39","-0.45","0.56","590.77"
"2.3400269","-15.18","5.18","-0.75","-0.30","-0.70","0.40","590.82"
"2.3900146","-5.96","-4.24","3.26","0.02","-0.71","-0.61","590.87"
"2.4400024","-14.28","-8.16","3.22","0.81","-0.98","0.18","590.92"
"2.4899902","-8.20","-5.41","4.00","0.04","-0.33","0.64","590.97"
"2.540039","-9.45","-3.30","5.06","0.17","-0.17","1.20","591.02"
"2.6000366","-9.73","0.90","3.14","-0.21","0.12","1.16","591.08"
"2.6500244","-8.79","3.53","2.63","0.39","0.38","0.98","591.13"
"2.7000122","-9.30","-1.84","3.49","0.61","-0.02","0.60","591.18"
"2.75","-10.00","1.69","3.06","0.04","-0.03","0.15","591.23"
"2.8000488","-9.14","-6.08","3.84","0.65","-0.37","-0.80","591.28"
"2.8600464","-10.87","-0.51","5.14","-0.09","-0.57","-1.23","591.34"
"2.9100342","-7.34","-0.82","4.59","0.92","-0.49","-1.47","591.39"
"2.960022","-8.36","-5.49","4.51","0.34","-0.78","-1.29","591.44"
"3.0100098","-8.59","-0.55","2.00","-0.18","-0.58","-1.15","591.49"
"3.0599976","-7.88","-3.10","1.65","1.28","-0.38","-0.87","591.54"
"3.119995","-14.40","4.55","-2.79","0.18","0.68","0.08","591.60"
"3.170044","-16.44","-0.98","2.04","0.73","1.26","0.49","591.65"
"3.2200317","-11.96","-1.73","5.14","-0.48","0.91","0.51","591.70"
"3.2700195","-7.18","3.45","2.28","-0.06","1.08","0.12","591.75"
