"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.77","-1.73","0.16","-0.36","0.19","-0.92","1115.13"
"0.059936523","-10.43","0.20","4.59","-0.26","0.34","0.70","1115.19"
"0.10998535","-9.18","-4.94","1.02","0.24","0.07","0.05","1115.24"
"0.16003418","-14.24","-0.04","-1.37","-0.61","0.11","-0.11","1115.29"
"0.20996094","-9.30","2.39","2.16","-0.22","-0.24","-0.48","1115.34"
"0.26000977","-6.43","-8.83","2.39","0.86","-0.37","-0.50","1115.39"
"0.3199463","-15.46","0.16","2.08","-0.17","-0.10","-0.19","1115.45"
"0.36999512","-6.51","-3.14","3.26","0.12","-0.26","-0.56","1115.50"
"0.42004395","-11.22","-2.79","2.20","0.59","-0.29","-0.13","1115.55"
"0.4699707","-7.65","-6.24","2.00","0.38","-0.26","-0.16","1115.60"
"0.52001953","-10.36","-7.69","6.39","0.63","-0.21","0.44","1115.65"
"0.5699463","-11.45","-5.22","9.30","0.34","0.16","1.12","1115.70"
"0.6300049","-7.30","5.06","10.79","1.29","0.39","0.51","1115.76"
"0.6800537","-3.61","-0.98","2.59","0.89","-1.20","1.58","1115.81"
"0.72998047","-15.38","-1.33","20.01","0.95","-5.42","-6.44","1115.86"
"0.7800293","-17.61","-2.43","12.75","-0.82","-7.81","-5.96","1115.91"
"0.8399658","-20.01","-14.83","-18.01","-0.02","-7.98","-2.08","1115.97"
"0.89001465","-20.01","20.01","-4.08","-0.70","-1.85","-0.93","1116.02"
"0.9399414","-20.01","-20.01","19.93","3.17","10.35","4.57","1116.07"
"0.98999023","-20.01","-20.01","20.01","-2.79","17.92","10.73","1116.12"
"1.0400391","-19.89","20.01","20.01","9.98","17.90","9.07","1116.17"
"1.0999756","-20.01","14.91","4.16","-5.15","4.99","-12.06","1116.23"
"1.1500244","-18.75","17.46","12.04","-7.60","-1.45","-8.35","1116.28"
"1.1999512","3.69","-1.37","14.67","-3.18","-3.86","-5.97","1116.33"
"1.25","-0.43","13.34","13.30","-1.81","-3.43","-3.39","1116.38"
"1.3000488","-13.34","5.96","8.04","0.49","-4.70","-1.34","1116.43"
"1.3499756","-10.00","1.02","4.08","0.59","-4.03","0.07","1116.48"
"1.4100342","-11.18","-4.24","8.28","1.54","-4.14","0.95","1116.54"
"1.4599609","-12.40","-4.24","8.90","0.73","-4.02","0.97","1116.59"
"1.5100098","-15.97","-5.65","7.53","-0.37","-4.20","1.43","1116.64"
"1.5599365","-11.14","-3.96","7.53","-0.47","-3.20","0.29","1116.69"
"1.6099854","-18.99","-11.22","2.24","-0.78","-2.32","1.46","1116.74"
"1.670044","-19.14","-1.80","2.31","-2.99","-0.47","0.77","1116.80"
"1.7199707","-20.01","10.16","-12.63","-1.72","2.43","1.97","1116.85"
"1.7700195","-9.22","2.55","7.37","5.46","1.30","-0.37","1116.90"
