"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.08","-0.55","3.22","0.47","-1.08","-1.55","1754.73"
"0.060058594","-9.73","-1.06","2.90","0.48","-0.86","-1.12","1754.79"
"0.10998535","-10.24","-0.78","2.31","0.21","-0.47","-0.61","1754.84"
"0.16003418","-9.85","-0.82","1.53","0.03","-0.12","-0.12","1754.89"
"0.20996094","-10.83","-0.24","0.43","-0.38","0.36","0.37","1754.94"
"0.26000977","-10.04","-4.00","5.57","-0.06","1.07","0.92","1754.99"
"0.32006836","-19.69","-0.43","-6.04","-0.94","0.69","0.80","1755.05"
"0.36999512","-6.16","-1.92","2.47","1.46","0.48","0.24","1755.10"
"0.42004395","-11.73","-2.63","1.49","-0.59","0.45","-0.01","1755.15"
"0.4699707","-9.92","0.43","1.57","0.26","0.33","-0.06","1755.20"
"0.52001953","-10.16","-2.39","1.69","-0.02","0.27","0.02","1755.25"
"0.5800781","-10.08","-0.86","1.49","0.01","0.23","0.04","1755.31"
"0.6300049","-10.12","-2.43","1.37","0.28","0.16","0.07","1755.36"
"0.6800537","-10.16","-0.43","1.45","0.05","0.16","0.15","1755.41"
"0.72998047","-10.16","-1.02","1.33","0.23","0.11","0.14","1755.46"
"0.7800293","-10.12","0.78","0.04","0.22","-0.00","0.08","1755.51"
"0.8399658","-9.77","4.75","-4.79","0.08","-0.43","-0.29","1755.57"
"0.89001465","-10.67","5.45","-3.57","0.18","-1.36","-1.53","1755.62"
"0.9400635","-20.01","0.86","1.29","0.71","-2.10","-2.67","1755.67"
"0.98999023","-13.57","-4.82","2.47","-1.09","-2.66","-2.00","1755.72"
"1.0400391","-14.55","3.02","-0.20","-0.00","-1.12","-1.67","1755.77"
"1.0999756","-10.75","1.22","2.08","0.68","1.07","0.56","1755.83"
"1.1500244","-8.32","-3.26","3.96","0.54","2.45","2.38","1755.88"
"1.2000732","-6.59","-9.81","7.81","-0.03","2.76","3.26","1755.93"
"1.25","-0.20","-5.88","9.49","-1.67","1.74","2.16","1755.98"
"1.3000488","11.85","-19.57","12.12","0.49","-0.53","-0.51","1756.03"
"1.3599854","6.39","-11.73","-7.34","-2.14","-1.86","1.03","1756.09"
"1.4100342","-6.47","-16.44","4.86","1.03","-1.89","-2.14","1756.14"
"1.4599609","-11.38","-1.18","13.53","-0.65","-0.68","-0.54","1756.19"
"1.5100098","-14.28","-15.77","10.83","1.42","-0.08","0.65","1756.24"
"1.5600586","-20.01","5.22","2.71","-1.21","-0.32","2.23","1756.29"
"1.6199951","-5.30","3.37","-11.69","-0.21","-0.71","2.03","1756.35"
"1.670044","-5.84","1.61","3.65","-3.58","-3.41","-3.14","1756.40"
"1.7199707","-20.01","20.01","-3.37","-3.13","-4.21","-4.80","1756.45"
"1.7700195","-20.01","6.51","-6.59","7.78","-1.51","-3.98","1756.50"
"1.8200684","-20.01","-9.49","-2.12","5.43","4.65","0.71","1756.55"
"1.8800049","-20.01","-20.01","20.01","2.04","15.63","7.42","1756.61"
"1.9300537","-20.01","-20.01","17.97","9.12","13.72","7.84","1756.66"
"1.9799805","-17.50","12.59","20.01","-6.65","5.53","-3.80","1756.71"
"2.0300293","-9.65","-8.51","19.89","1.50","-1.06","-6.80","1756.76"
"2.0800781","6.08","-11.34","20.01","-3.56","-4.28","-4.43","1756.81"
"2.1400146","-3.53","15.30","20.01","-2.60","-3.79","-2.27","1756.87"
"2.1900635","10.79","8.51","-20.01","-4.23","-4.99","-0.90","1756.92"
"2.2399902","20.01","-15.06","-20.01","9.59","0.79","-1.35","1756.97"
"2.290039","-19.38","-12.24","-1.06","-0.30","-1.35","-1.95","1757.02"
"2.3399658","-4.35","12.04","3.92","-3.67","-0.68","2.63","1757.07"
"2.4000244","-9.45","6.28","0.82","-0.02","-0.72","0.48","1757.13"
"2.4500732","-11.61","-3.18","-0.67","0.91","-0.40","0.73","1757.18"
"2.5","-8.83","5.65","-0.75","-1.04","-0.25","1.15","1757.23"
"2.5500488","-8.43","3.37","-1.53","0.71","-0.45","0.95","1757.28"
"2.5999756","-12.87","1.26","0.63","0.81","-0.45","1.00","1757.33"
"2.6600342","-11.06","-1.77","1.77","1.18","-0.28","1.59","1757.39"
"2.709961","-6.79","11.18","1.10","0.31","0.65","1.82","1757.44"
"2.7600098","-6.20","-4.71","0.43","2.66","-0.14","-0.89","1757.49"
