"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.36","0.16","0.78","-0.01","0.07","0.01","1714.54"
"0.049926758","-10.32","0.08","0.67","-0.01","0.06","0.01","1714.59"
"0.099975586","-10.32","0.12","0.71","-0.00","0.06","0.01","1714.64"
"0.14990234","-10.32","0.08","0.59","0.01","0.05","0.01","1714.69"
"0.19995117","-10.40","0.08","0.63","0.00","0.05","0.01","1714.74"
"0.26000977","-10.36","0.16","0.71","-0.00","0.05","0.00","1714.80"
"0.30993652","-10.32","0.20","0.78","-0.00","0.03","-0.00","1714.85"
"0.35998535","-10.28","0.08","0.78","-0.04","0.03","-0.01","1714.90"
"0.4099121","-10.24","-0.12","0.67","-0.03","0.03","-0.02","1714.95"
"0.4699707","-10.12","-0.16","0.63","-0.09","0.03","-0.03","1715.01"
"0.52001953","-10.28","0.12","0.63","-0.15","0.02","-0.05","1715.06"
"0.5699463","-10.32","0.51","0.59","-0.22","-0.02","-0.10","1715.11"
"0.6199951","-10.47","-0.16","0.82","-0.14","-0.04","-0.14","1715.16"
"0.6699219","-10.32","-0.31","1.10","-0.10","-0.03","-0.14","1715.21"
"0.72998047","-10.32","-0.20","1.33","-0.05","0.02","-0.11","1715.27"
"0.7799072","-10.43","-0.63","1.49","-0.05","0.08","-0.08","1715.32"
"0.82995605","-10.32","-0.67","1.37","0.06","0.16","0.01","1715.37"
"0.8800049","-10.43","-0.67","0.86","0.12","0.20","0.07","1715.42"
"0.92993164","-10.20","-0.31","0.59","0.12","0.20","0.12","1715.47"
"0.98999023","-10.43","-0.55","1.33","0.27","0.22","0.14","1715.53"
"1.039917","-10.71","-0.86","0.35","0.39","0.26","0.23","1715.58"
"1.0899658","-10.36","-0.20","-0.51","0.31","0.22","0.32","1715.63"
"1.1400146","-9.85","1.84","-1.77","0.07","0.06","0.25","1715.68"
"1.1899414","-10.00","2.00","-1.77","-0.09","-0.22","-0.01","1715.73"
"1.25","-10.12","2.28","-2.75","-0.27","-0.58","-0.34","1715.79"
"1.2999268","-10.40","6.55","-4.71","-0.14","-1.34","-1.28","1715.84"
"1.3499756","-13.85","-4.98","0.16","0.16","-1.81","-2.15","1715.89"
"1.3999023","-12.28","-1.37","3.02","0.05","-1.75","-1.79","1715.94"
"1.4499512","-11.61","-1.02","0.59","0.18","-0.44","-1.20","1715.99"
"1.5100098","-9.49","1.45","1.96","1.02","0.91","-0.14","1716.05"
"1.5599365","-8.59","-3.49","3.57","0.75","1.42","0.70","1716.10"
"1.6099854","-3.41","-2.90","6.71","-0.88","1.08","1.17","1716.15"
"1.6599121","5.49","-12.28","11.26","0.22","-0.10","-0.21","1716.20"
"1.7099609","-20.01","-2.16","-1.26","-1.92","-1.77","-1.12","1716.25"
"1.7700195","-2.24","-14.98","11.45","0.41","-0.48","-1.19","1716.31"
"1.8199463","-13.49","-8.83","10.83","0.56","-0.27","-0.56","1716.36"
"1.8699951","-16.87","-15.57","11.77","1.15","0.63","1.06","1716.41"
"1.9199219","-19.18","19.89","-4.47","-0.66","0.35","3.35","1716.46"
"1.9699707","5.06","-7.57","-2.90","-0.44","-1.46","0.96","1716.51"
"2.0299072","-12.20","-1.02","6.71","-3.20","-6.05","-5.37","1716.57"
"2.079956","-17.34","17.34","-7.30","-1.10","-5.40","-4.22","1716.62"
"2.130005","-20.01","13.57","-7.88","1.96","-4.23","-2.25","1716.67"
"2.1799316","-20.01","1.57","8.32","2.96","0.07","1.73","1716.72"
"2.2299805","-20.01","-20.01","20.01","8.30","9.90","1.92","1716.77"
"2.289917","-20.01","-20.01","20.01","-4.41","18.46","6.48","1716.83"
"2.3399658","-9.18","-20.01","15.93","14.38","11.85","-0.87","1716.88"
"2.3900146","-10.36","14.16","10.00","-4.74","5.89","1.79","1716.93"
"2.4399414","-14.08","-10.20","20.01","-1.92","2.42","-4.02","1716.98"
"2.4899902","11.22","-20.01","20.01","-3.45","2.21","-1.31","1717.03"
"2.5499268","8.24","-2.04","19.38","-0.31","1.54","-2.90","1717.09"
"2.5999756","-2.71","-8.00","15.81","-2.43","-0.80","-3.83","1717.14"
"2.6499023","-9.53","0.16","11.61","-2.48","-1.31","-3.89","1717.19"
