"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.32","-0.67","2.67","0.01","-0.87","-1.28","2002.36"
"0.050048828","-9.73","-0.27","3.18","0.27","-0.84","-1.48","2002.41"
"0.099975586","-8.39","-3.10","3.45","0.44","-0.82","-1.30","2002.46"
"0.15002441","-8.83","-3.02","2.86","-1.16","-0.46","-0.61","2002.51"
"0.20007324","-8.79","0.98","2.28","-0.79","-0.03","-0.18","2002.56"
"0.26000977","-10.32","-0.04","2.63","0.32","0.58","0.41","2002.62"
"0.3100586","-12.43","-6.28","2.71","0.32","0.50","0.18","2002.67"
"0.35998535","-9.30","0.98","4.98","-0.72","1.02","0.58","2002.72"
"0.41003418","-10.32","-2.00","2.35","0.09","0.90","0.38","2002.77"
"0.4699707","-10.20","-2.00","2.51","-0.00","1.01","0.38","2002.83"
"0.52001953","-11.96","-0.43","0.51","-0.40","0.80","0.48","2002.88"
"0.57006836","-9.57","-3.22","0.27","-0.17","0.58","0.28","2002.93"
"0.6199951","-10.24","0.27","1.22","-0.53","0.58","0.24","2002.98"
"0.67004395","-10.04","-1.88","-0.16","0.05","0.32","0.14","2003.03"
"0.7800293","-10.04","-2.20","1.02","0.15","0.17","0.02","2003.14"
"0.82995605","-10.43","-0.75","0.16","-0.09","0.11","0.00","2003.19"
"0.8800049","-10.24","-1.37","0.67","-0.02","0.05","-0.03","2003.24"
"0.9300537","-10.16","-1.53","0.35","0.12","-0.03","-0.07","2003.29"
"0.98999023","-10.08","-2.35","1.57","0.15","0.00","0.01","2003.35"
"1.0400391","-10.12","-1.92","1.77","0.23","0.05","0.08","2003.40"
"1.0899658","-10.00","-1.22","1.41","0.39","0.11","0.17","2003.45"
"1.1400146","-10.24","-1.18","0.43","0.49","0.08","0.19","2003.50"
"1.1900635","-10.12","-0.86","-0.43","0.43","-0.03","0.16","2003.55"
"1.25","-9.96","0.90","-0.43","0.19","-0.25","-0.03","2003.61"
"1.3000488","-10.08","-0.04","-0.75","0.09","-0.60","-0.37","2003.66"
"1.3499756","-11.18","1.92","-1.57","-0.21","-0.99","-0.87","2003.71"
"1.4000244","-14.40","4.67","0.04","-0.65","-1.56","-1.76","2003.76"
"1.4500732","-13.89","-5.30","0.20","-0.79","-2.26","-2.29","2003.81"
"1.5100098","-11.45","-1.53","-0.86","-0.09","-1.18","-1.87","2003.87"
"1.5600586","-9.77","-0.35","1.06","1.01","0.63","0.37","2003.92"
"1.6099854","-9.53","-6.98","3.61","0.83","1.67","1.60","2003.97"
"1.6600342","-8.04","-7.73","7.06","-1.34","2.26","2.47","2004.02"
"1.7099609","-2.63","-3.30","7.53","-1.63","1.67","1.78","2004.07"
"1.7600098","5.10","-20.01","14.04","0.24","-0.09","0.08","2004.12"
"1.8200684","-20.01","-1.49","-0.63","-3.03","-0.83","-0.17","2004.18"
"1.8699951","-2.16","-7.10","3.02","0.96","-1.09","-0.88","2004.23"
"1.920044","-10.47","-12.20","4.51","0.57","-0.88","-0.98","2004.28"
"1.9699707","-13.81","-6.39","4.28","0.40","-0.73","-0.19","2004.33"
"2.0200195","-20.01","0.55","6.12","-0.75","-1.04","0.02","2004.38"
"2.079956","-16.71","12.67","2.28","-0.10","-1.32","-0.20","2004.44"
"2.130005","-4.20","-6.20","-5.81","0.20","-2.54","-0.22","2004.49"
"2.1800537","-8.79","5.81","-2.98","-1.21","-3.07","-0.56","2004.54"
"2.2299805","-17.89","1.49","-0.98","2.71","-2.53","0.93","2004.59"
"2.290039","-19.97","-19.53","-6.20","1.21","-0.98","4.33","2004.65"
"2.3399658","-20.01","-1.73","-3.14","-1.41","3.30","4.55","2004.70"
"2.3900146","-20.01","-20.01","4.63","2.09","8.59","5.16","2004.75"
"2.4400635","-20.01","12.08","20.01","6.35","11.09","3.87","2004.80"
"2.4899902","-16.40","-15.65","9.34","-4.93","8.14","0.38","2004.85"
"2.5500488","2.43","7.14","9.49","-3.21","5.46","3.89","2004.91"
"2.5999756","-4.59","-20.01","9.69","-3.76","0.90","-2.18","2004.96"
"2.6500244","-3.80","3.92","10.12","-8.22","1.01","-1.05","2005.01"
"2.7000732","-2.86","-3.53","2.71","-0.66","1.13","-1.36","2005.06"
"2.75","-4.98","-5.84","4.12","1.06","0.60","-3.31","2005.11"
"2.8100586","-12.47","-6.16","0.67","-0.19","-0.32","-4.30","2005.17"
"2.8599854","-12.67","0.00","-0.04","-0.05","-0.39","-4.68","2005.22"
"2.9100342","-10.71","-7.41","1.65","1.83","-1.37","-4.92","2005.27"
"2.959961","-10.59","-7.57","4.55","-1.66","-1.67","-3.09","2005.32"
"3.0100098","-16.51","-2.04","4.63","-5.28","-0.92","-0.44","2005.37"
"3.0700684","-20.01","20.01","5.73","-7.40","-0.68","2.30","2005.43"
"3.119995","5.77","-13.89","-13.77","4.62","-1.29","-0.31","2005.48"
