"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.16","-1.73","-0.12","-0.16","-0.12","-0.01","655.66"
"0.050048828","-9.77","-1.96","-0.47","-0.08","-0.16","-0.02","655.71"
"0.10003662","-10.51","-1.57","0.35","-0.14","-0.18","-0.04","655.76"
"0.16003418","-10.98","-1.29","-1.10","-0.19","-0.33","-0.07","655.82"
"0.21002197","-9.96","-2.28","1.18","0.10","-0.32","-0.00","655.87"
"0.26000977","-10.40","0.71","0.39","0.20","-0.32","0.02","655.92"
"0.30999756","-10.04","0.86","-0.39","0.80","-0.44","-0.32","655.97"
"0.3600464","-11.61","1.45","0.35","0.21","-0.68","-0.93","656.02"
"0.42004395","-14.04","-2.16","-0.27","-0.08","-0.58","-1.32","656.08"
"0.47003174","-11.57","-0.94","0.67","0.22","-0.33","-1.50","656.13"
"0.52001953","-7.85","-4.39","1.65","0.92","0.17","-1.19","656.18"
"0.5700073","-8.98","-0.90","1.06","-0.69","0.67","0.42","656.23"
"0.62005615","-8.63","0.04","1.33","-0.24","1.14","1.36","656.28"
"0.6800537","-9.61","-4.94","2.00","0.96","0.94","1.14","656.34"
"0.7300415","-8.47","-3.80","1.29","0.68","0.82","0.18","656.39"
"0.7800293","-3.49","-8.59","6.51","0.79","0.11","-0.78","656.44"
"0.8300171","-18.08","1.57","2.12","-2.12","-0.64","-0.95","656.49"
"0.8800049","-3.88","-5.96","-0.82","0.51","-0.27","-2.12","656.54"
"0.94000244","-9.92","-2.16","3.69","-0.12","-0.59","-1.37","656.60"
"0.99005127","-10.00","-9.69","3.30","0.27","-0.57","-1.14","656.65"
"1.0400391","-9.38","-10.98","2.51","0.01","-0.46","-0.16","656.70"
"1.0900269","-15.46","-16.28","5.18","0.79","-0.45","1.19","656.75"
"1.1400146","-20.01","16.75","18.40","2.36","-0.21","1.95","656.80"
"1.2000122","8.87","-20.01","7.14","1.69","-2.39","-0.64","656.86"
"1.25","-20.01","-19.57","16.95","-4.08","-7.73","-7.56","656.91"
"1.3000488","-20.01","19.22","-4.90","-6.22","-6.54","-8.57","656.96"
"1.3500366","-20.01","17.53","-7.06","2.16","-3.17","-5.45","657.01"
"1.4100342","-20.01","2.63","-11.26","1.66","5.96","6.13","657.07"
"1.460022","-20.01","-20.01","20.01","5.67","12.56","18.42","657.12"
"1.5100098","-20.01","17.57","20.01","16.59","11.35","7.65","657.17"
"1.5599976","-20.01","20.01","5.06","3.14","6.11","2.28","657.22"
"1.6100464","-12.36","-15.73","11.96","-0.11","3.73","-0.57","657.27"
"1.670044","1.96","-3.88","14.47","-1.09","1.17","0.69","657.33"
"1.7200317","2.59","-4.98","12.08","0.17","-0.00","-0.30","657.38"
"1.7700195","-6.86","-9.49","2.51","-1.50","-2.36","-1.89","657.43"
"1.8200073","-9.18","-0.20","-6.43","-1.37","-2.89","-2.77","657.48"
"1.8700562","-19.46","-3.45","-6.75","-1.22","-2.95","-3.06","657.53"
"1.9300537","-16.48","-4.31","-4.71","-1.65","-2.58","-4.53","657.59"
"1.9800415","-16.87","-6.32","-0.67","-2.54","-2.92","-4.85","657.64"
"2.0300293","-7.45","0.90","4.55","-5.90","-2.91","-3.67","657.69"
"2.080017","-20.01","20.01","2.00","-16.16","-2.17","7.09","657.74"
"2.130005","-2.24","-20.01","-20.01","-1.61","-2.52","0.78","657.79"
"2.1900024","-20.01","-2.08","6.20","-2.65","-0.59","0.60","657.85"
"2.2400513","-2.20","-3.77","2.16","-1.57","0.05","-1.04","657.90"
"2.290039","-16.16","-4.43","0.43","1.19","-0.30","0.30","657.95"
"2.3400269","-9.34","-6.51","0.59","0.35","0.11","-0.08","658.00"
"2.3900146","-10.47","-0.35","-0.16","-0.51","0.08","0.78","658.05"
"2.4500122","-10.12","-0.35","-0.27","0.75","0.04","0.53","658.11"
"2.5","-10.43","-2.28","-0.24","0.82","0.03","0.63","658.16"
"2.5500488","-10.40","1.18","-0.75","-0.00","0.02","0.56","658.21"
"2.6000366","-10.24","0.47","-0.98","0.26","-0.04","0.41","658.26"
"2.6500244","-10.55","0.27","-0.75","0.24","-0.16","0.34","658.31"
"2.710022","-10.67","-2.63","0.67","0.07","-0.21","0.49","658.37"
