"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.30","-3.53","0.08","-0.11","0.07","0.02","745.31"
"0.049987793","-9.73","-3.49","0.16","-0.12","0.08","0.12","745.36"
"0.099975586","-10.12","-2.94","-0.12","-0.03","0.10","0.17","745.41"
"0.15002441","-10.16","-3.02","-0.16","0.00","0.07","0.21","745.46"
"0.21002197","-10.32","-1.88","-0.47","-0.05","0.02","0.07","745.52"
"0.26000977","-10.12","-3.02","-0.86","-0.30","-0.02","-0.02","745.57"
"0.30999756","-10.36","-2.94","-0.47","0.02","-0.00","0.04","745.62"
"0.35998535","-10.12","-2.04","0.71","-0.02","0.02","0.10","745.67"
"0.4199829","-10.16","-3.14","-0.55","0.16","0.11","0.15","745.73"
"0.47003174","-10.59","-1.37","0.43","0.13","0.17","0.23","745.78"
"0.52001953","-9.53","-4.86","-1.18","0.34","0.22","0.20","745.83"
"0.6199951","-9.34","-2.82","-0.20","0.28","0.21","0.24","745.93"
"0.6799927","-8.94","-3.84","-0.55","0.32","0.20","0.40","745.99"
"0.72998047","-9.96","-0.27","1.14","-0.01","0.14","0.47","746.04"
"0.7800293","-10.28","-2.35","-2.35","0.02","0.06","0.31","746.09"
"0.8300171","-10.67","-1.41","-0.39","-0.61","-0.10","0.50","746.14"
"0.8800049","-9.81","-0.86","-1.61","-0.70","-0.13","0.47","746.19"
"0.94000244","-10.08","-4.43","1.06","-0.30","-0.11","0.88","746.25"
"0.98999023","-10.24","-6.59","3.37","-0.32","-0.02","1.78","746.30"
"1.039978","-10.20","-5.84","4.47","0.45","0.29","2.97","746.35"
"1.0900269","-15.42","-2.12","2.59","0.22","0.76","3.24","746.40"
"1.1400146","-12.87","8.51","-3.06","3.35","0.60","2.43","746.45"
"1.1900024","-2.71","-16.08","3.88","0.74","-0.86","-1.99","746.50"
"1.25","-14.36","-6.86","3.61","-2.97","-2.44","-3.40","746.56"
"1.2999878","-11.85","9.57","1.77","-2.90","-1.59","-3.91","746.61"
"1.3499756","-7.30","5.14","-0.24","0.53","-1.02","-2.72","746.66"
"1.4000244","-10.79","-0.67","-0.08","0.24","-0.74","-1.14","746.71"
"1.4500122","-11.77","1.41","-0.27","-0.08","-0.37","-0.58","746.76"
"1.5100098","-12.16","0.24","0.75","0.10","-0.41","-0.55","746.82"
"1.5599976","-11.41","0.00","0.35","0.14","0.06","-0.63","746.87"
"1.6099854","-11.53","-0.47","1.14","0.46","0.07","-0.34","746.92"
"1.6599731","-8.36","-2.20","1.10","0.54","0.53","-0.33","746.97"
"1.710022","-8.32","-2.08","1.41","0.37","0.45","-0.44","747.02"
