"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.08","0.27","1.80","-0.02","0.04","0.00","1805.64"
"0.049926758","-10.08","0.43","1.88","-0.04","0.04","0.01","1805.69"
"0.099975586","-10.12","0.24","1.88","0.00","0.05","0.01","1805.74"
"0.16003418","-9.96","0.27","1.92","-0.01","0.05","0.02","1805.80"
"0.20996094","-10.32","0.51","1.88","0.02","0.06","0.00","1805.85"
"0.26000977","-10.12","0.39","2.12","0.11","0.07","0.00","1805.90"
"0.30993652","-9.96","-0.08","1.53","0.04","0.06","0.05","1805.95"
"0.36999512","-10.20","0.55","0.90","-0.11","-0.02","0.04","1806.01"
"0.42004395","-10.24","2.59","1.14","-0.34","-0.07","-0.06","1806.06"
"0.4699707","-10.40","0.75","0.86","0.19","-0.21","-0.24","1806.11"
"0.52001953","-10.47","1.02","0.75","-0.15","-0.36","-0.45","1806.16"
"0.5699463","-11.02","-0.39","0.16","-0.19","-0.60","-0.69","1806.21"
"0.6300049","-10.63","0.08","1.77","0.07","-0.59","-0.91","1806.27"
"0.67993164","-10.63","-4.43","1.29","0.17","-0.32","-0.79","1806.32"
"0.72998047","-10.04","-0.08","0.16","-1.80","0.16","-0.28","1806.37"
"0.7800293","-10.28","2.79","1.65","-0.02","0.36","-0.05","1806.42"
"0.82995605","-10.43","-2.79","2.51","0.77","0.60","0.07","1806.47"
"0.89001465","-10.43","-1.02","2.55","-0.24","0.97","0.32","1806.53"
"0.9399414","-10.04","-1.77","2.59","0.24","1.10","0.41","1806.58"
"0.98999023","-9.53","-2.35","2.75","0.25","1.01","0.22","1806.63"
"1.0400391","-8.55","-3.65","3.06","-0.17","0.58","-0.01","1806.68"
"1.0899658","-7.41","-2.98","3.80","-0.49","0.19","-0.25","1806.73"
"1.1500244","-4.67","-6.59","4.86","-1.07","-0.08","-0.32","1806.79"
"1.1999512","-20.01","1.53","-10.04","-3.77","-0.49","0.35","1806.84"
"1.25","5.02","2.79","4.59","-0.50","0.14","0.41","1806.89"
"1.2999268","-11.41","-7.18","2.67","0.93","-0.51","-1.59","1806.94"
"1.3499756","-8.87","-5.61","1.80","0.22","-0.50","-1.19","1806.99"
"1.4100342","-10.04","-5.37","3.18","0.21","-0.50","-0.76","1807.05"
"1.4599609","-11.26","-7.06","3.30","0.70","-0.35","-0.37","1807.10"
"1.5100098","-13.77","-4.79","4.79","0.28","-0.31","0.15","1807.15"
"1.5599365","-13.45","3.37","3.53","0.27","-0.41","0.07","1807.20"
"1.6099854","-5.14","3.02","-0.71","0.50","-0.89","-0.02","1807.25"
"1.670044","-5.73","-0.71","1.10","-1.33","-2.11","-0.75","1807.31"
"1.7199707","-17.61","7.81","0.86","-0.21","-2.06","-1.36","1807.36"
"1.7700195","-11.65","-9.18","4.00","3.95","-1.15","-0.22","1807.41"
"1.8199463","-10.51","0.78","8.04","3.17","1.06","-0.26","1807.46"
"1.8699951","-7.92","-9.06","8.43","3.72","1.47","-0.87","1807.51"
"1.9299316","-7.85","-0.59","5.69","1.11","2.30","-0.68","1807.57"
"1.9799805","-8.08","-4.79","3.61","2.18","1.97","-0.38","1807.62"
"2.079956","-12.28","-2.90","-1.57","0.56","3.80","0.12","1807.72"
"2.130005","-19.22","-10.94","-3.69","-0.05","5.72","1.79","1807.77"
"2.1899414","-7.85","18.20","17.81","6.27","5.85","3.31","1807.83"
"2.2399902","-9.45","-4.75","4.98","-14.39","4.21","2.19","1807.88"
"2.290039","-4.12","-17.89","6.12","6.90","1.72","-1.96","1807.93"
"2.3399658","-8.67","-2.24","3.53","-6.64","1.44","-1.15","1807.98"
"2.3900146","-2.39","0.71","5.57","-0.54","0.86","-2.01","1808.03"
"2.4499512","-3.45","-12.40","2.04","-0.56","-0.37","-3.11","1808.09"
"2.5","-10.32","4.12","-0.47","-3.72","-0.47","-2.80","1808.14"
"2.5499268","-12.04","4.16","-1.29","-1.41","-0.34","-2.64","1808.19"
"2.5999756","-10.04","-0.82","0.24","0.28","-1.01","-3.26","1808.24"
"2.6500244","-6.51","-0.31","4.94","-1.52","-1.66","-2.02","1808.29"
"2.709961","-14.63","20.01","-20.01","-8.27","0.90","6.78","1808.35"
"2.7600098","-10.43","-8.20","-11.45","-0.79","-1.99","-2.08","1808.40"
"2.8099365","-11.65","-11.30","7.61","-0.57","-0.20","0.03","1808.45"
"2.8599854","-7.85","-0.16","-2.16","-1.43","-0.19","1.03","1808.50"
"2.9100342","-9.69","5.37","-4.55","-0.03","-0.04","0.23","1808.55"
