"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.63","-0.86","1.06","0.04","0.02","-0.02","672.46"
"0.049987793","-9.96","-0.75","0.86","0.02","0.02","-0.01","672.51"
"0.099975586","-10.40","-0.20","1.45","0.03","-0.03","-0.05","672.56"
"0.14996338","-10.16","-0.24","0.82","0.09","-0.06","-0.15","672.61"
"0.19995117","-11.30","-0.04","0.24","-0.03","-0.19","-0.34","672.66"
"0.25994873","-10.79","0.63","0.71","-0.30","-0.21","-0.48","672.72"
"0.30999756","-12.63","0.31","0.67","-0.00","-0.38","-0.70","672.77"
"0.35998535","-10.83","-1.53","-0.82","0.12","-0.24","-0.86","672.82"
"0.40997314","-10.20","-2.59","0.71","0.61","0.05","-0.93","672.87"
"0.45996094","-8.32","-3.80","0.47","0.38","0.55","-0.31","672.92"
"0.5199585","-9.49","-2.82","-0.39","-1.08","0.93","0.49","672.98"
"0.5700073","-10.28","1.41","-2.08","-0.35","1.00","0.70","673.03"
"0.6199951","-10.00","-2.79","0.59","2.05","1.55","0.26","673.08"
"0.6699829","-6.79","-6.90","2.90","2.11","1.34","-0.34","673.13"
"0.7199707","-7.61","-6.63","1.41","-0.37","0.44","-0.58","673.18"
"0.77996826","-4.71","-3.41","1.77","-0.28","-0.08","-0.54","673.24"
"0.82995605","-20.01","2.90","-2.67","-2.25","-0.94","0.26","673.29"
"0.8800049","-10.75","4.00","2.63","-1.92","-0.65","-1.02","673.34"
"0.9299927","-7.65","-12.32","2.63","1.32","-0.69","-1.46","673.39"
"0.98999023","-10.40","-3.61","1.53","-0.23","-0.43","-0.98","673.45"
"1.039978","-9.10","-9.38","0.98","0.80","-0.38","-0.86","673.50"
"1.0899658","-10.12","-6.59","0.12","0.32","-0.43","-0.01","673.55"
"1.1399536","-16.24","0.20","-0.98","0.64","-0.77","-0.14","673.60"
"1.1900024","-20.01","14.55","-0.12","0.37","-1.01","-1.69","673.65"
"1.25","-12.87","-2.16","-3.30","1.71","-0.32","-3.69","673.71"
"1.2999878","-15.77","-2.24","-6.71","3.18","0.58","-2.25","673.76"
"1.3499756","-14.59","-0.12","-4.12","2.38","4.03","1.04","673.81"
"1.3999634","-14.55","-4.08","9.34","6.07","6.83","2.58","673.86"
"1.4499512","7.57","6.00","20.01","0.82","8.91","1.18","673.91"
"1.5099487","-5.26","-6.04","2.16","-2.60","5.30","2.63","673.97"
"1.5599976","-13.93","-3.77","2.16","-1.35","2.32","3.01","674.02"
"1.6099854","-9.49","-2.75","-1.18","-3.55","1.28","1.88","674.07"
"1.6599731","-10.20","6.79","-0.63","-2.58","0.56","0.54","674.12"
"1.7099609","-6.63","-1.45","-0.35","0.11","0.49","-0.45","674.17"
"1.7699585","-5.45","0.27","-0.43","-1.06","0.14","0.28","674.23"
"1.8200073","-6.75","1.37","-0.12","-0.16","-0.13","0.39","674.28"
"1.8699951","-6.04","-1.33","0.16","0.27","-0.44","0.10","674.33"
"1.9199829","-9.18","-0.04","-0.08","0.11","-1.21","-0.55","674.38"
"1.9699707","-9.38","-1.84","1.22","-0.34","-1.85","-1.35","674.43"
"2.0299683","-12.55","-1.49","2.47","-0.96","-2.78","-1.99","674.49"
"2.079956","-13.57","-2.51","4.12","-1.33","-3.59","-2.69","674.54"
"2.130005","-14.28","-2.43","4.98","-1.01","-3.88","-3.03","674.59"
"2.1799927","-8.94","-6.86","6.28","-0.69","-3.94","-3.11","674.64"
"2.2299805","-9.61","-6.28","4.51","-1.81","-3.69","-2.29","674.69"
"2.2799683","-9.34","-5.10","3.02","-2.91","-2.54","-1.12","674.74"
"2.3399658","-20.01","20.01","-2.20","-3.79","0.26","1.70","674.80"
"2.3899536","-18.16","7.22","-0.63","0.18","1.89","1.46","674.85"
"2.4400024","-20.01","-12.08","1.41","2.14","0.15","0.85","674.90"
"2.4899902","-0.31","1.65","1.26","-0.77","1.19","0.11","674.95"
"2.539978","-10.83","-8.71","0.20","0.96","0.71","0.69","675.00"
"2.5999756","-10.40","-1.92","1.92","-1.02","0.45","1.06","675.06"
"2.6499634","-10.20","-1.33","1.29","0.05","0.48","0.71","675.11"
"2.6999512","-9.41","-3.65","0.39","0.08","0.46","0.53","675.16"
"2.75","-10.04","-1.41","-0.78","-0.11","0.34","0.43","675.21"
"2.7999878","-9.92","-3.14","0.24","0.20","0.25","0.35","675.26"
"2.8599854","-10.00","-2.51","-0.04","-0.22","0.19","0.35","675.32"
"2.9099731","-9.89","-2.08","0.43","-0.28","0.16","0.33","675.37"
"2.959961","-10.16","-2.35","-0.67","-0.28","0.16","0.23","675.42"
"3.0099487","-10.40","-1.02","0.31","-0.14","0.03","0.15","675.47"
"3.0700073","-10.40","-2.94","0.27","-0.09","0.01","0.05","675.53"
"3.119995","-10.00","-3.14","0.75","-0.22","0.09","0.21","675.58"
"3.169983","-10.04","-1.14","-0.78","-0.45","0.11","0.27","675.63"
"3.2199707","-10.59","-0.51","-0.20","-0.31","0.05","0.14","675.68"
