"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.51","0.08","0.47","-0.01","0.05","0.13","286.04"
"0.049987793","-10.36","0.20","0.63","-0.03","0.05","0.14","286.09"
"0.10998535","-10.43","0.12","0.35","0.04","0.06","0.11","286.15"
"0.16000366","-10.40","0.31","0.55","0.02","0.06","0.11","286.20"
"0.20999146","-10.36","0.43","0.35","0.08","0.02","0.04","286.25"
"0.25997925","-10.71","0.82","0.55","0.14","-0.04","-0.01","286.30"
"0.30999756","-10.55","0.00","0.63","0.38","-0.04","-0.12","286.35"
"0.36999512","-10.47","-0.51","0.71","0.17","-0.05","-0.14","286.41"
"0.4199829","-10.79","-0.47","1.22","0.26","0.04","-0.44","286.46"
"0.47000122","-8.59","-3.92","2.12","0.81","-0.01","-1.01","286.51"
"0.519989","-8.71","-3.10","2.43","-0.00","-0.36","-0.96","286.56"
"0.5699768","-10.00","0.08","0.98","-0.54","-0.42","-0.69","286.61"
"0.6300049","-11.49","3.65","-0.67","-0.37","0.08","0.48","286.67"
"0.6799927","-8.47","3.10","0.59","0.65","0.41","-0.03","286.72"
"0.72998047","-10.75","-2.31","1.92","-0.57","0.09","0.12","286.77"
"0.7799988","-10.71","1.53","0.08","-0.06","0.06","-0.12","286.82"
"0.8299866","-10.71","-2.63","0.75","0.57","-0.00","-0.26","286.87"
"0.88998413","-10.04","-0.55","0.94","-0.42","-0.18","-0.30","286.93"
"0.94000244","-9.06","-1.96","1.57","-0.32","-0.26","-0.53","286.98"
"0.98999023","-10.00","-5.69","1.88","-0.73","-0.49","-0.55","287.03"
"1.039978","-9.96","-2.75","0.78","-0.64","-0.35","-0.53","287.08"
"1.0899963","-9.38","-4.08","0.98","-0.32","-0.24","-0.49","287.13"
"1.1499939","-10.12","-0.51","0.39","-0.69","-0.17","-0.57","287.19"
"1.1999817","-6.83","-3.80","-0.90","0.26","0.15","-0.91","287.24"
"1.25","-10.71","-8.36","4.39","-1.10","-0.30","0.19","287.29"
"1.2999878","-10.40","3.41","4.28","-0.54","-0.20","-1.10","287.34"
"1.3500061","-12.51","-8.12","3.49","-0.55","-0.48","-0.85","287.39"
"1.4100037","-9.38","-15.10","3.88","0.47","-0.19","-0.25","287.45"
"1.4599915","-17.77","-5.22","5.41","0.78","-0.12","1.57","287.50"
"1.5099792","-16.67","16.44","13.10","2.94","-0.39","1.17","287.55"
"1.5599976","3.33","-20.01","1.26","-1.14","-2.95","-1.27","287.60"
"1.6099854","-19.61","-7.34","1.84","-0.97","-5.09","-4.86","287.65"
"1.6699829","-20.01","17.85","-2.71","-4.10","-5.49","-4.77","287.71"
"1.7200012","-20.01","14.36","-13.57","1.79","-2.46","-1.16","287.76"
"1.769989","-20.01","-3.14","-17.97","2.99","5.49","4.37","287.81"
"1.8199768","-20.01","-20.01","20.01","5.77","10.00","9.90","287.86"
"1.8699951","-20.01","-11.10","20.01","4.84","9.97","4.79","287.91"
"1.9299927","-20.01","20.01","20.01","5.78","9.21","0.94","287.97"
"1.9799805","-1.41","-3.37","20.01","-10.00","3.31","-0.65","288.02"
"2.0299988","9.89","-8.04","11.77","-2.52","2.98","0.77","288.07"
"2.0799866","-2.12","3.80","14.00","-1.12","1.30","-0.29","288.12"
"2.130005","-0.94","-3.30","6.79","-1.14","-0.30","-1.14","288.17"
"2.1900024","-7.18","3.69","2.31","-0.62","-0.98","-1.37","288.23"
"2.2399902","-3.22","-1.26","1.18","-0.39","-1.81","-1.74","288.28"
"2.289978","-13.77","15.26","-8.55","0.09","-2.30","-1.96","288.33"
"2.3399963","-9.41","-3.69","-0.86","1.30","-2.79","-3.30","288.38"
"2.3899841","-16.16","2.67","0.08","0.20","-3.09","-2.96","288.43"
"2.4499817","-16.63","-5.73","2.86","1.78","-3.64","-3.26","288.49"
