"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.12","-1.53","0.67","0.01","0.08","0.02","2038.13"
"0.059936523","-10.20","-1.33","0.63","-0.03","0.06","0.02","2038.19"
"0.10998535","-10.20","-1.29","0.59","0.03","0.06","0.00","2038.24"
"0.16003418","-10.16","-1.26","0.63","0.04","0.04","-0.01","2038.29"
"0.20996094","-10.16","-1.22","0.59","0.04","0.03","-0.04","2038.34"
"0.26000977","-10.20","-1.45","0.75","0.08","0.01","-0.06","2038.39"
"0.3199463","-10.32","-1.73","0.67","0.04","-0.01","-0.06","2038.45"
"0.36999512","-10.12","-1.57","1.02","0.07","-0.01","-0.06","2038.50"
"0.42004395","-10.24","-1.49","0.98","0.01","-0.01","-0.06","2038.55"
"0.4699707","-10.12","-1.73","0.90","0.05","-0.01","-0.06","2038.60"
"0.52001953","-10.20","-1.65","0.78","-0.00","-0.03","-0.07","2038.65"
"0.57995605","-10.24","-1.22","0.75","0.00","-0.05","-0.11","2038.71"
"0.6300049","-9.92","-1.18","0.63","0.05","-0.10","-0.21","2038.76"
"0.6800537","-10.08","-1.18","0.94","0.07","-0.16","-0.33","2038.81"
"0.72998047","-9.89","-0.98","1.73","0.09","-0.22","-0.46","2038.86"
"0.7800293","-9.77","-2.16","1.84","0.73","-0.28","-0.61","2038.91"
"0.82995605","-8.90","-2.71","2.12","0.43","-0.22","-0.62","2038.96"
"0.89001465","-10.00","-2.86","1.84","0.06","-0.25","-0.61","2039.02"
"0.9399414","-9.89","-3.53","1.84","0.09","-0.27","-0.53","2039.07"
"0.98999023","-9.77","-4.51","2.16","0.13","-0.33","-0.45","2039.12"
"1.0400391","-10.24","-5.30","3.10","0.04","-0.35","-0.17","2039.17"
"1.0899658","-11.02","-4.16","4.51","-0.08","-0.28","0.21","2039.22"
"1.1500244","-13.42","-1.96","5.30","0.04","-0.25","0.44","2039.28"
"1.1999512","-11.85","2.24","3.02","0.45","-0.40","0.48","2039.33"
"1.25","-7.18","6.24","1.18","1.68","-0.97","0.11","2039.38"
"1.3000488","-9.96","0.59","-7.73","-0.98","-2.19","-0.43","2039.43"
"1.3499756","-12.71","2.16","-0.27","-2.36","-2.32","-0.25","2039.48"
"1.4100342","-9.89","6.12","-0.90","-0.07","-1.60","-0.24","2039.54"
"1.4599609","-10.94","-0.47","3.96","4.57","-0.58","0.97","2039.59"
"1.5100098","-14.47","-11.53","1.77","0.84","0.55","1.41","2039.64"
"1.5599365","-20.01","4.59","-0.71","-3.97","1.89","1.85","2039.69"
"1.6199951","-20.01","-0.43","2.71","0.99","3.83","2.79","2039.75"
"1.670044","-20.01","-20.01","0.20","3.10","6.77","5.27","2039.80"
"1.7199707","-17.69","20.01","20.01","0.15","7.15","4.93","2039.85"
"1.7700195","-19.42","8.51","-20.01","-2.89","5.48","3.37","2039.90"
"1.8199463","-10.40","2.82","8.51","-2.77","3.40","0.98","2039.95"
"1.8800049","-9.53","-9.10","4.04","-2.32","2.72","-0.40","2040.01"
"1.9300537","-5.41","1.77","5.30","-1.21","2.67","0.19","2040.06"
"1.9799805","-3.57","-14.00","3.02","0.78","1.32","-2.06","2040.11"
"2.0300293","-7.49","-1.49","4.00","-2.40","0.49","-2.53","2040.16"
"2.079956","-9.26","1.84","2.90","-0.79","-0.29","-3.43","2040.21"
"2.1400146","-12.32","-0.35","0.35","-0.21","-1.19","-4.15","2040.27"
"2.1899414","-13.77","-2.12","2.82","-1.24","-1.61","-3.67","2040.32"
"2.2399902","-13.45","3.49","3.61","-1.77","-1.25","-2.90","2040.37"
"2.290039","-12.43","-0.35","2.86","-0.00","-1.04","-2.27","2040.42"
"2.3399658","-20.01","20.01","1.77","-2.26","1.06","3.55","2040.47"
"2.4000244","-8.94","-11.18","-6.39","2.09","-0.39","0.18","2040.53"
"2.4499512","-10.67","1.49","-2.90","-0.94","-0.14","-0.04","2040.58"
"2.5","-12.16","1.49","1.77","-0.36","-0.35","-0.11","2040.63"
"2.5500488","-10.28","0.12","-0.86","-0.27","-0.32","-0.06","2040.68"
"2.5999756","-10.63","-0.08","0.20","-0.53","-0.15","-0.02","2040.73"
"2.6600342","-10.32","0.00","-0.51","0.01","-0.03","0.09","2040.79"
