"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.81","-1.10","1.29","-0.39","0.48","0.30","1877.92"
"0.049926758","-10.04","-2.63","1.37","-0.00","0.41","0.36","1877.97"
"0.10998535","-10.40","-0.67","0.71","0.26","0.48","0.39","1878.03"
"0.15991211","-10.00","-1.77","0.08","0.46","0.44","0.41","1878.08"
"0.20996094","-10.16","-1.26","-0.90","0.11","0.40","0.38","1878.13"
"0.26000977","-10.08","0.35","-0.47","-0.09","0.32","0.32","1878.18"
"0.30993652","-10.51","-0.20","-0.94","0.02","0.15","0.18","1878.23"
"0.36999512","-10.20","-0.47","-0.24","-0.18","0.09","0.11","1878.29"
"0.41992188","-10.47","-1.45","-0.78","-0.22","0.01","0.12","1878.34"
"0.4699707","-10.28","-0.04","0.00","-0.15","-0.01","0.10","1878.39"
"0.51989746","-10.40","-0.24","0.39","0.01","-0.03","0.09","1878.44"
"0.5699463","-10.67","-0.90","0.20","0.25","-0.01","0.14","1878.49"
"0.6300049","-10.36","-0.39","-0.47","0.22","-0.04","0.19","1878.55"
"0.67993164","-10.12","-0.04","-0.86","0.08","-0.14","0.16","1878.60"
"0.72998047","-10.00","1.96","-2.59","-0.56","-0.44","0.00","1878.65"
"0.7799072","-9.81","4.20","-3.26","-0.39","-0.89","-0.54","1878.70"
"0.82995605","-10.98","3.41","-1.37","-0.37","-1.36","-1.31","1878.75"
"0.89001465","-13.18","-7.45","0.04","0.02","-1.65","-1.53","1878.81"
"0.9399414","-13.93","-0.20","0.39","-1.13","-0.79","-0.99","1878.86"
"0.98999023","-10.90","3.37","-0.98","-0.81","0.12","-0.51","1878.91"
"1.039917","-11.06","0.55","0.55","1.34","0.90","0.21","1878.96"
"1.0899658","-11.02","-2.67","1.49","0.77","1.28","0.50","1879.01"
"1.1499023","-10.04","-0.75","2.28","-0.05","1.29","0.67","1879.07"
"1.1999512","-8.08","-4.28","4.98","0.30","1.07","0.68","1879.12"
"1.25","-4.71","-8.32","6.79","-0.84","0.42","0.42","1879.17"
"1.2999268","6.86","-9.02","12.20","0.10","-0.62","-1.36","1879.22"
"1.3499756","-19.85","-7.88","1.18","-0.42","-1.10","-0.95","1879.27"
"1.4099121","20.01","-11.96","14.28","-2.58","1.36","3.66","1879.33"
"1.4599609","-20.01","-15.22","-3.26","2.97","-1.67","-1.64","1879.38"
"1.5100098","-17.81","-20.01","12.12","0.97","0.80","1.81","1879.43"
"1.5599365","-7.73","20.01","-13.65","0.33","0.87","5.31","1879.48"
"1.6099854","-8.87","-19.53","19.65","-0.12","-6.17","-6.47","1879.53"
"1.6699219","-20.01","4.90","0.35","-2.48","-8.34","-8.06","1879.59"
"1.7199707","-17.93","5.88","-8.90","-0.22","-6.16","-4.71","1879.64"
"1.7698975","-20.01","19.81","-12.08","-0.30","-4.03","-0.63","1879.69"
"1.8199463","-20.01","-10.40","0.86","6.34","3.84","3.17","1879.74"
"1.8699951","-20.01","-20.01","20.01","5.45","17.65","8.06","1879.79"
"1.9299316","-20.01","20.01","20.01","2.18","16.54","15.28","1879.85"
"1.9799805","-18.83","-15.93","20.01","-15.67","8.64","-2.81","1879.90"
"2.0299072","0.90","-20.01","20.01","-1.98","4.11","-1.09","1879.95"
"2.079956","-5.22","-9.41","20.01","-0.68","2.15","-4.13","1880.00"
"2.130005","-7.92","2.35","18.59","-4.61","-2.02","-4.76","1880.05"
"2.1899414","-10.20","0.24","17.34","1.04","-4.15","-6.76","1880.11"
"2.2399902","-13.53","-10.87","8.36","0.92","-6.07","-4.21","1880.16"
"2.289917","-20.01","14.98","20.01","-4.47","0.24","-2.15","1880.21"
"2.3399658","-9.73","-20.01","-20.01","7.57","-2.51","11.88","1880.26"
"2.3900146","-20.01","-5.33","-14.40","-5.56","-2.47","0.58","1880.31"
"2.4499512","-2.98","7.57","4.82","-1.54","-0.41","0.96","1880.37"
"2.5","-11.38","4.12","-4.16","-0.15","-0.42","0.03","1880.42"
"2.5499268","-8.59","1.80","-1.14","-0.47","0.24","0.56","1880.47"
