"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.47","4.04","0.51","-0.11","0.21","0.50","1325.37"
"0.050048828","-10.32","0.12","-1.18","0.62","0.14","0.46","1325.42"
"0.099975586","-10.20","1.88","-1.06","0.24","0.23","0.48","1325.47"
"0.16003418","-10.12","2.79","-1.14","-0.04","0.15","0.40","1325.53"
"0.20996094","-10.40","1.80","-1.06","-0.01","0.13","0.28","1325.58"
"0.26000977","-10.16","2.00","-1.06","-0.51","0.08","0.27","1325.63"
"0.3100586","-10.20","3.84","-0.86","-0.13","0.09","0.19","1325.68"
"0.35998535","-10.08","3.33","-0.63","0.19","0.09","0.11","1325.73"
"0.42004395","-10.16","2.75","-1.02","0.28","0.04","0.04","1325.79"
"0.4699707","-10.28","2.90","-0.78","0.25","0.03","-0.01","1325.84"
"0.52001953","-10.20","2.39","-1.37","0.19","-0.08","-0.10","1325.89"
"0.5699463","-10.51","2.39","-1.65","-0.18","-0.18","-0.25","1325.94"
"0.6199951","-10.20","2.71","-2.35","-0.45","-0.32","-0.43","1325.99"
"0.6800537","-10.16","3.18","-1.10","-0.25","-0.33","-0.72","1326.05"
"0.72998047","-10.83","0.71","0.35","-0.02","-0.42","-0.81","1326.10"
"0.7800293","-9.02","1.33","0.47","-0.12","-0.39","-0.82","1326.15"
"0.82995605","-9.85","2.39","0.86","-0.03","-0.43","-0.79","1326.20"
"0.8800049","-8.98","3.02","1.53","0.98","-0.43","-0.97","1326.25"
"0.9400635","-8.39","-2.47","2.94","1.78","-0.81","-1.12","1326.31"
"0.98999023","-7.53","-3.80","3.18","0.18","-1.20","-1.41","1326.36"
"1.0400391","-10.32","1.18","-1.10","-0.33","-0.92","-1.40","1326.41"
"1.0899658","-11.34","-3.14","2.08","0.20","-0.38","-1.06","1326.46"
"1.1400146","-9.18","-8.20","2.20","0.06","-0.71","-0.45","1326.51"
"1.1999512","-10.36","-1.96","4.20","0.11","-0.33","-0.44","1326.57"
"1.25","-8.71","-14.28","5.96","1.52","-0.52","-0.22","1326.62"
"1.3000488","-12.12","-11.45","10.12","0.16","-0.18","1.10","1326.67"
"1.3499756","-20.01","-1.65","6.32","1.31","-0.19","1.76","1326.72"
"1.4000244","-6.94","20.01","-7.92","-3.89","-1.90","4.34","1326.77"
"1.4599609","-14.91","20.01","18.08","-4.50","-4.97","-5.61","1326.83"
"1.5100098","-12.63","-13.93","-0.04","2.87","-7.29","-6.05","1326.88"
"1.5600586","-20.01","-17.02","-19.89","0.18","-7.06","-1.09","1326.93"
"1.6099854","-20.01","19.97","-19.93","-1.38","-1.12","0.39","1326.98"
"1.6600342","-20.01","-20.01","20.01","7.69","12.16","9.00","1327.03"
"1.7199707","-20.01","-20.01","20.01","-1.89","19.35","6.10","1327.09"
"1.7700195","-17.65","-20.01","20.01","24.32","13.35","-5.36","1327.14"
"1.8199463","-18.91","20.01","20.01","-10.16","0.27","-6.38","1327.19"
"1.8699951","-20.01","-19.77","17.73","-10.83","-2.87","-9.23","1327.24"
"1.920044","0.86","20.01","18.51","-4.82","-0.91","-6.28","1327.29"
"1.9799805","-4.04","-11.89","12.40","1.01","-3.79","-2.97","1327.35"
"2.0300293","-2.43","1.45","4.04","-3.60","-1.92","-3.57","1327.40"
"2.079956","-3.45","6.04","6.32","-2.38","-2.05","-2.15","1327.45"
"2.130005","-4.31","-1.33","4.08","1.52","-2.73","-1.89","1327.50"
"2.1800537","-9.85","-7.18","4.20","1.41","-3.00","0.00","1327.55"
"2.2399902","-9.49","0.24","5.26","0.18","-2.43","-0.30","1327.61"
"2.290039","-17.02","-5.02","5.02","0.64","-2.64","0.56","1327.66"
"2.3399658","-17.34","-5.53","5.18","0.26","-2.13","0.08","1327.71"
"2.3900146","-16.04","-4.16","4.47","-0.68","-1.74","0.00","1327.76"
"2.4400635","-16.99","2.12","1.77","-0.69","-1.03","0.08","1327.81"
"2.5","-15.02","-2.43","0.71","1.00","-0.70","-0.07","1327.87"
"2.5500488","-16.59","-2.94","-2.08","0.50","-0.06","-0.10","1327.92"
"2.5999756","-14.51","4.63","-5.65","-0.81","1.29","0.50","1327.97"
"2.6500244","-10.90","8.87","2.43","2.92","0.51","-0.21","1328.02"
"2.6999512","-8.36","-16.16","2.12","0.63","0.00","-0.14","1328.07"
"2.7600098","-10.00","-0.16","2.55","-2.28","0.33","0.09","1328.13"
"2.8100586","-10.75","3.14","2.35","-1.73","0.32","0.21","1328.18"
"2.8599854","-10.24","-1.57","2.00","0.05","0.26","0.23","1328.23"
"2.9100342","-10.16","-0.98","1.10","-0.24","0.30","0.15","1328.28"
"2.959961","-10.24","0.16","1.18","-0.32","0.29","0.11","1328.33"
"3.0200195","-10.24","-0.08","1.26","0.14","0.26","0.02","1328.39"
"3.0699463","-10.43","-2.24","0.51","0.05","0.23","0.04","1328.44"
