"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.20","0.82","0.94","-0.03","0.05","-0.04","1048.73"
"0.050048828","-10.28","0.90","0.94","-0.04","0.06","-0.05","1048.78"
"0.099975586","-10.24","0.82","0.90","-0.07","0.06","-0.05","1048.83"
"0.16003418","-10.24","0.78","1.02","-0.05","0.05","-0.06","1048.89"
"0.20996094","-10.24","0.63","1.02","-0.08","0.05","-0.05","1048.94"
"0.26000977","-10.28","0.75","1.02","-0.10","0.05","-0.05","1048.99"
"0.3100586","-10.28","0.71","0.98","-0.10","0.06","-0.07","1049.04"
"0.35998535","-10.24","0.63","1.06","-0.09","0.06","-0.08","1049.09"
"0.42004395","-10.32","0.39","0.98","-0.07","0.06","-0.07","1049.15"
"0.4699707","-10.36","0.51","1.06","-0.11","0.06","-0.07","1049.20"
"0.52001953","-10.32","0.24","1.14","-0.10","0.08","-0.07","1049.25"
"0.57006836","-10.43","0.16","1.18","-0.11","0.10","-0.04","1049.30"
"0.6199951","-10.40","0.12","1.22","-0.10","0.11","-0.01","1049.35"
"0.6800537","-10.43","0.20","1.06","-0.08","0.13","0.01","1049.41"
"0.72998047","-10.36","0.51","0.82","-0.07","0.14","0.03","1049.46"
"0.7800293","-10.32","0.43","0.75","-0.07","0.13","0.02","1049.51"
"0.8300781","-10.16","0.00","0.82","-0.08","0.09","0.01","1049.56"
"0.8800049","-10.40","0.08","0.39","-0.46","0.05","0.00","1049.61"
"0.9400635","-10.36","-0.12","1.37","-0.38","0.09","0.01","1049.67"
"0.98999023","-10.59","0.16","0.75","-0.02","0.08","0.06","1049.72"
"1.0899658","-9.92","0.51","0.47","0.43","0.01","-0.04","1049.82"
"1.1400146","-10.12","0.94","-0.35","0.20","-0.09","-0.08","1049.87"
"1.2000732","-10.00","5.88","-2.12","0.26","-0.25","-0.30","1049.93"
"1.25","-9.77","2.71","-2.00","0.48","-0.55","-0.98","1049.98"
"1.3000488","-12.98","-4.47","4.47","0.24","-0.49","-1.13","1050.03"
"1.3499756","-8.12","1.02","2.47","0.56","0.59","-1.10","1050.08"
"1.4000244","-6.12","-2.43","5.14","3.34","0.49","-1.05","1050.13"
"1.4500732","-5.41","-7.81","5.06","3.04","0.07","-0.78","1050.18"
"1.5100098","-20.01","3.57","-7.88","-0.92","-0.22","0.72","1050.24"
"1.5600586","-3.53","8.16","0.24","-0.95","-0.44","0.10","1050.29"
"1.6099854","-9.69","-1.92","1.57","1.16","-0.48","-0.66","1050.34"
"1.6600342","-10.20","-8.36","4.24","0.79","-0.59","-0.48","1050.39"
"1.7199707","-10.51","-3.22","2.86","-0.24","-0.36","-0.12","1050.45"
"1.7700195","-9.65","-4.98","2.39","0.57","-0.46","0.52","1050.50"
"1.8200684","-9.85","-1.45","1.57","-0.12","-0.48","0.67","1050.55"
"1.8699951","-12.20","4.00","-0.51","-0.23","-0.83","0.46","1050.60"
"1.920044","-11.41","9.34","1.69","0.02","-1.62","-0.32","1050.65"
"1.9799805","-17.46","7.14","-1.84","0.09","-2.59","-1.12","1050.71"
"2.0300293","-16.51","-3.49","-6.32","-1.46","-2.63","-1.46","1050.76"
"2.0800781","-9.14","-14.55","0.67","0.30","-3.02","-0.42","1050.81"
"2.130005","-17.10","-2.28","0.27","-1.13","-0.74","0.71","1050.86"
"2.1800537","-12.55","-0.55","8.20","0.10","3.82","2.30","1050.91"
"2.2299805","-17.93","-9.06","10.32","3.34","6.20","1.47","1050.96"
"2.290039","-14.40","-9.73","18.63","3.51","6.56","-1.11","1051.02"
"2.3399658","-18.32","5.45","12.79","-0.42","7.00","-3.04","1051.07"
"2.3900146","-0.59","-13.02","11.61","4.97","2.83","-1.96","1051.12"
"2.4400635","-17.85","2.43","5.06","-6.54","4.06","-3.97","1051.17"
"2.5","-1.84","8.08","3.88","1.44","1.76","-0.08","1051.23"
"2.5500488","-13.65","-13.93","-4.12","0.41","-0.36","-1.16","1051.28"
"2.5999756","-6.04","4.28","6.51","-6.77","-0.60","-0.27","1051.33"
"2.6500244","-1.80","8.94","3.45","-3.61","-1.63","0.06","1051.38"
"2.7000732","-5.02","-0.82","2.86","0.46","-2.38","-0.27","1051.43"
"2.7600098","-7.02","-3.18","3.69","-0.36","-2.86","0.30","1051.49"
"2.8100586","-10.43","0.39","4.86","-1.38","-3.22","0.25","1051.54"
"2.8599854","-13.65","-0.75","5.69","-1.04","-3.78","-0.36","1051.59"
"2.9100342","-14.40","-3.14","6.94","-0.21","-3.92","-1.32","1051.64"
"2.959961","-13.61","-3.80","7.61","0.50","-3.67","-1.78","1051.69"
"3.0100098","-12.36","-5.53","8.12","1.39","-2.90","-1.63","1051.74"
"3.0700684","-14.04","-10.20","6.12","0.87","-1.71","-0.57","1051.80"
"3.119995","-20.01","-8.28","-4.98","-1.46","-0.34","0.56","1051.85"
"3.170044","-20.01","7.57","-16.51","-4.51","2.41","3.22","1051.90"
"3.2199707","-7.73","-5.22","9.02","3.26","0.99","2.05","1051.95"
"3.2800293","-7.02","-2.28","-2.24","-3.09","1.66","0.11","1052.01"
"3.3300781","-5.84","6.43","-2.08","-1.09","0.81","0.87","1052.06"
"3.380005","-9.81","-6.79","-0.35","0.68","0.61","0.55","1052.11"
