"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.12","1.29","0.43","-0.40","0.37","0.29","1218.72"
"0.050048828","-9.85","0.31","1.06","0.20","0.56","0.53","1218.77"
"0.099975586","-10.08","1.02","0.51","-0.17","0.84","1.07","1218.82"
"0.15002441","-9.81","1.33","0.43","0.39","0.62","1.02","1218.87"
"0.21008301","-7.92","-0.39","-0.59","-0.08","0.61","1.03","1218.93"
"0.26000977","-8.94","2.59","-0.04","-0.26","0.75","1.30","1218.98"
"0.3100586","-9.49","1.73","0.20","0.08","0.65","1.55","1219.03"
"0.35998535","-9.38","1.80","-0.55","-0.18","0.28","1.02","1219.08"
"0.41003418","-10.16","3.33","-1.18","-0.26","0.12","0.93","1219.13"
"0.460083","-9.49","5.33","-0.04","0.61","0.26","0.17","1219.18"
"0.52001953","-9.81","0.24","1.84","0.90","0.22","-0.31","1219.24"
"0.57006836","-9.89","4.04","0.90","1.24","-0.02","-0.79","1219.29"
"0.6199951","-8.79","-2.86","1.73","1.26","-0.61","-0.65","1219.34"
"0.67004395","-6.83","0.20","3.84","0.68","-1.00","-1.16","1219.39"
"0.72998047","-7.65","-1.92","3.41","0.11","-1.62","-1.42","1219.45"
"0.7800293","-8.71","-0.71","4.00","0.11","-1.99","-1.77","1219.50"
"0.8300781","-9.45","-2.63","3.77","0.57","-2.18","-2.05","1219.55"
"0.8800049","-10.43","-5.73","3.53","0.73","-2.08","-2.31","1219.60"
"0.9300537","-10.04","-5.18","3.22","0.93","-1.64","-2.55","1219.65"
"0.98999023","-9.53","-7.85","3.92","1.55","-1.21","-2.52","1219.71"
"1.0400391","-10.75","-9.77","2.82","0.98","-0.46","-2.19","1219.76"
"1.0900879","-11.10","-6.20","1.45","0.22","0.47","-1.54","1219.81"
"1.1400146","-12.16","1.33","-1.18","1.12","0.99","-0.91","1219.86"
"1.1900635","-15.57","4.43","2.79","3.03","1.67","0.49","1219.91"
"1.2399902","-12.04","-4.20","-2.16","0.35","0.81","0.00","1219.96"
"1.3000488","-10.55","4.24","3.53","-0.34","0.48","0.03","1220.02"
"1.3499756","-15.77","-20.01","9.10","0.89","-0.02","0.86","1220.07"
"1.4000244","-20.01","4.75","13.81","-0.63","0.81","1.42","1220.12"
"1.4500732","-8.36","20.01","5.37","-0.49","-0.68","1.92","1220.17"
"1.5","-3.96","4.43","13.30","-4.37","-4.11","-1.58","1220.22"
"1.5600586","-13.42","-9.10","10.32","1.50","-7.64","-5.46","1220.28"
"1.6099854","-20.01","-14.71","-13.06","-0.73","-8.91","-1.31","1220.33"
"1.6600342","-20.01","18.63","-6.59","-3.56","-5.22","0.16","1220.38"
"1.710083","-20.01","-20.01","7.85","7.58","5.81","6.90","1220.43"
"1.7700195","-20.01","-20.01","20.01","3.14","17.59","8.25","1220.49"
"1.8200684","-20.01","20.01","20.01","4.16","19.68","7.11","1220.54"
"1.8699951","-20.01","-20.01","-18.08","7.83","5.45","-15.06","1220.59"
"1.920044","-19.30","-13.53","12.32","-5.08","-5.34","-5.74","1220.64"
"1.9699707","-20.01","3.73","20.01","-12.64","-2.81","-3.72","1220.69"
"2.0300293","12.94","18.55","13.45","-3.12","-1.21","-4.35","1220.75"
"2.0800781","0.63","-9.06","11.18","3.90","-3.37","-3.79","1220.80"
"2.130005","-4.16","-12.67","6.75","-0.20","-3.87","-1.09","1220.85"
"2.1800537","-2.67","-0.04","6.63","-1.69","-3.42","-0.82","1220.90"
"2.2299805","-10.71","-9.49","7.37","0.41","-3.90","0.62","1220.95"
"2.290039","-18.55","-17.50","3.45","-1.28","-2.70","1.97","1221.01"
"2.340088","-20.01","20.01","-0.59","-8.80","-1.03","1.91","1221.06"
