"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.43","-0.59","0.59","0.00","0.06","0.07","525.40"
"0.049987793","-10.36","-0.59","0.78","-0.02","0.06","0.07","525.45"
"0.099975586","-10.28","-0.55","0.71","0.00","0.04","0.06","525.50"
"0.15997314","-10.12","-1.02","0.75","0.03","-0.30","-0.02","525.56"
"0.20996094","-10.71","0.71","0.82","-0.04","-0.05","-0.15","525.61"
"0.25994873","-10.79","0.35","0.47","0.13","0.00","-0.34","525.66"
"0.30999756","-11.10","-1.49","1.06","0.15","0.00","-0.57","525.71"
"0.35998535","-9.81","-2.35","0.82","0.02","-0.08","-0.69","525.76"
"0.4199829","-9.65","-1.92","1.06","-0.24","-0.21","-0.56","525.82"
"0.4699707","-9.49","-1.80","1.18","-0.32","-0.28","-0.44","525.87"
"0.5199585","-9.02","-2.59","1.02","-0.69","-0.36","-0.35","525.92"
"0.5699463","-8.24","-3.06","1.14","-1.14","-0.39","-0.26","525.97"
"0.6199951","-9.61","-2.39","0.31","-1.20","-0.52","-0.28","526.02"
"0.6799927","-10.63","-3.45","0.35","-0.98","-0.48","-0.28","526.08"
"0.72998047","-10.75","0.31","0.08","-0.98","-0.10","-0.18","526.13"
"0.77996826","-10.55","0.24","0.67","0.65","0.46","-0.13","526.18"
"0.82995605","-6.86","-1.37","1.26","1.84","0.64","-0.58","526.23"
"0.8800049","-6.63","-18.08","16.87","0.74","0.14","0.29","526.28"
"0.94000244","1.73","11.49","6.35","-2.00","0.01","-0.47","526.34"
"0.98999023","-9.89","-20.01","0.71","2.76","-0.33","-2.24","526.39"
"1.039978","-9.65","-3.92","1.33","-0.99","-0.45","-0.46","526.44"
"1.0899658","-10.90","-13.38","3.61","0.30","-0.57","0.23","526.49"
"1.1399536","-19.77","-4.63","7.49","0.78","-0.66","1.41","526.54"
"1.1999512","-14.40","20.01","-5.57","2.56","-0.64","0.78","526.60"
"1.25","0.86","-12.79","11.65","-2.64","-4.59","-4.45","526.65"
"1.2999878","-20.01","-4.75","5.18","-5.79","-6.74","-6.56","526.70"
"1.3499756","-20.01","20.01","-10.87","-0.38","-2.12","-4.03","526.75"
"1.3999634","-20.01","3.14","-19.30","5.40","0.98","2.68","526.80"
"1.4599609","-20.01","-14.98","20.01","7.93","10.25","15.76","526.86"
"1.5099487","-12.75","-20.01","20.01","13.22","15.77","5.76","526.91"
"1.5599976","-17.18","20.01","20.01","-1.73","6.67","1.25","526.96"
"1.6099854","-12.98","-19.10","18.04","-1.57","-0.89","-4.08","527.01"
"1.6699829","-13.69","9.45","20.01","-3.51","-2.71","-3.59","527.07"
"1.7199707","-20.01","20.04","-5.02","-8.18","-2.07","0.52","527.12"
"1.7699585","-20.01","20.01","7.14","6.49","-1.19","-5.57","527.17"
"1.8199463","2.00","-16.91","7.26","3.90","-0.53","-1.68","527.22"
"1.8699951","-8.90","11.53","1.57","-4.71","-0.37","0.15","527.27"
"1.9299927","-10.20","0.27","-0.51","3.07","-0.43","0.14","527.33"
"1.9799805","-8.04","-4.24","-2.82","-0.66","-0.07","0.85","527.38"
"2.0299683","-10.75","8.00","-2.82","-0.03","-0.23","0.21","527.43"
"2.079956","-13.02","-0.75","0.63","0.73","-0.27","-0.19","527.48"
"2.130005","-10.98","0.31","-1.96","0.14","-0.18","-0.63","527.53"
"2.1900024","-8.75","-3.61","2.20","1.22","-0.77","-1.20","527.59"
"2.2399902","-7.96","-5.65","1.45","-0.39","-1.24","-1.43","527.64"
"2.289978","-9.45","0.31","1.80","-2.20","-1.62","-1.37","527.69"
"2.3399658","-10.43","1.53","2.63","-1.24","-1.63","-1.65","527.74"
"2.3899536","-9.30","-1.69","3.96","0.00","-1.37","-2.05","527.79"
"2.4499512","-8.90","-4.04","5.81","-0.29","-1.87","-1.86","527.85"
"2.5","-9.18","-2.31","5.18","-1.00","-1.86","-1.58","527.90"
"2.5499878","-8.24","-2.71","4.71","-0.24","-1.60","-1.26","527.95"
"2.5999756","-7.77","-5.88","3.37","-0.32","-1.43","-0.64","528.00"
"2.6499634","-7.34","-2.79","1.77","-1.61","-1.08","-0.05","528.05"
"2.709961","-13.73","1.88","-2.67","-1.38","-0.27","1.35","528.11"
"2.7599487","-20.01","-1.37","0.98","0.67","0.81","1.29","528.16"
"2.8099976","-11.92","-1.41","3.45","0.22","1.32","0.88","528.21"
"2.8599854","-10.28","-5.30","0.90","0.11","1.03","0.58","528.26"
"2.9099731","-11.18","-3.61","2.28","-0.27","0.86","0.74","528.31"
"2.959961","-10.12","-3.57","-0.94","-0.35","0.82","0.57","528.36"
"3.0199585","-9.45","-2.63","1.69","-0.15","0.70","0.74","528.42"
