"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-8.94","-3.84","2.98","1.01","-0.87","-1.46","2066.26"
"0.060058594","-10.94","-0.98","0.24","0.09","-0.32","-0.85","2066.32"
"0.11010742","-12.59","1.26","-2.24","-0.10","0.71","0.32","2066.37"
"0.15991211","-20.01","1.26","-2.55","-0.99","0.72","1.74","2066.42"
"0.20996094","-3.14","-0.16","0.27","-0.51","0.68","1.14","2066.47"
"0.27001953","-13.89","0.31","1.57","0.63","0.53","0.39","2066.53"
"0.32006836","-9.02","-2.39","-0.59","-0.10","0.28","0.41","2066.58"
"0.36987305","-10.08","0.75","-0.47","-0.00","0.13","0.27","2066.63"
"0.41992188","-10.51","3.53","-3.14","-0.17","-0.21","-0.18","2066.68"
"0.4699707","-9.61","4.55","-0.51","0.26","-0.58","-0.91","2066.73"
"0.5300293","-12.75","-2.43","-1.49","0.67","-1.26","-1.83","2066.79"
"0.5800781","-15.73","-6.55","2.94","0.52","-1.74","-1.44","2066.84"
"0.6298828","-5.22","-5.81","3.92","0.10","-0.84","-0.92","2066.89"
"0.67993164","-7.96","-2.59","1.26","-0.17","0.70","-0.03","2066.94"
"0.72998047","-6.08","-0.94","4.24","0.90","1.34","0.42","2066.99"
"0.79003906","-4.00","-7.49","5.69","0.22","0.75","0.11","2067.05"
"0.8400879","7.88","-5.73","10.24","0.05","0.18","-0.87","2067.10"
"0.8898926","-20.01","-3.26","-5.02","-0.62","-0.95","-0.75","2067.15"
"0.9399414","-6.51","-5.22","3.02","-0.54","-0.90","-0.70","2067.20"
"0.98999023","-14.51","-10.47","7.57","0.47","-0.50","-0.31","2067.25"
"1.0400391","-15.30","-20.01","11.02","0.78","0.26","1.12","2067.30"
"1.1000977","-20.01","16.24","8.12","-0.53","1.28","2.67","2067.36"
"1.1499023","6.98","13.34","-16.75","3.20","-0.02","3.98","2067.41"
"1.1999512","-14.08","-12.40","19.18","-2.29","-7.67","-7.51","2067.46"
"1.25","-15.14","9.02","0.08","-2.45","-6.43","-5.55","2067.51"
"1.3100586","-11.34","3.37","-8.94","2.85","-5.04","-3.74","2067.57"
"1.3601074","-20.01","1.14","-16.08","-0.57","-3.15","1.64","2067.62"
"1.4099121","-20.01","9.10","-2.31","2.51","2.24","4.63","2067.67"
"1.4599609","-20.01","-20.01","20.01","10.60","11.73","4.13","2067.72"
"1.5100098","-20.01","-18.36","20.01","-9.89","17.79","10.35","2067.77"
"1.5600586","-15.97","-20.01","20.01","6.14","12.59","5.11","2067.82"
"1.619873","-16.36","-1.77","6.12","-7.65","5.65","-0.57","2067.88"
"1.6699219","-18.87","-20.01","18.20","-2.08","2.84","-1.29","2067.93"
"1.7199707","-2.79","-0.04","16.95","-5.42","4.42","1.94","2067.98"
"1.7700195","1.02","-20.01","11.22","1.17","1.75","-2.26","2068.03"
"1.8300781","1.77","-13.26","10.51","-1.69","0.19","-4.49","2068.09"
"1.8798828","-3.61","-1.45","7.06","0.10","-0.48","-5.90","2068.14"
"1.9299316","-7.92","-5.41","7.81","2.33","-1.53","-6.10","2068.19"
"1.9799805","-15.81","-8.39","7.10","1.83","-2.10","-5.31","2068.24"
"2.0300293","-16.67","-7.30","6.04","-1.19","-1.48","-2.91","2068.29"
"2.0800781","-20.01","-4.00","4.04","-3.11","-0.93","-1.68","2068.34"
"2.1398926","-20.01","20.01","-19.89","-7.12","-0.29","0.83","2068.40"
