"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.89","-1.77","-0.16","0.70","0.63","0.06","711.40"
"0.05999756","-13.10","6.83","-0.12","1.61","1.60","1.46","711.46"
"0.10998535","-10.08","-7.49","1.61","2.38","1.25","0.73","711.51"
"0.15997314","-9.96","2.28","2.04","-1.28","0.87","1.33","711.56"
"0.20996094","-11.92","1.06","0.55","0.77","0.70","0.58","711.61"
"0.25994873","-9.85","-2.67","-0.94","0.43","0.34","0.33","711.66"
"0.3199463","-9.65","-0.67","1.26","0.77","0.22","-0.10","711.72"
"0.36999512","-10.59","-1.80","-2.71","0.01","0.08","-0.12","711.77"
"0.4199829","-10.40","-1.45","-0.90","-0.32","-0.17","-0.22","711.82"
"0.4699707","-11.06","7.73","-1.69","-0.50","-0.44","-0.75","711.87"
"0.5199585","-8.36","1.69","-1.18","-0.50","-0.73","-2.51","711.92"
"0.57995605","-17.81","-8.71","1.33","-1.08","-1.13","-1.90","711.98"
"0.6300049","-10.47","-0.67","-1.06","-2.26","-0.79","-0.46","712.03"
"0.6799927","-8.36","0.08","-0.82","-0.58","0.20","1.36","712.08"
"0.72998047","-6.86","-11.77","1.57","0.82","1.02","1.96","712.13"
"0.77996826","-1.02","-5.49","0.98","0.18","0.62","0.89","712.18"
"0.8399658","6.28","-20.01","12.63","1.01","-0.30","-0.32","712.24"
"0.8899536","2.71","8.08","2.47","-4.42","-0.56","0.05","712.29"
"0.94000244","-20.01","-20.01","3.92","2.12","-0.82","-1.62","712.34"
"0.98999023","-6.79","-7.45","3.22","-1.01","-0.41","-0.36","712.39"
"1.0499878","-16.63","-14.87","6.63","0.77","-0.49","0.78","712.45"
"1.0999756","-20.01","19.93","14.16","2.38","-0.13","1.03","712.50"
"1.1499634","0.67","-20.01","12.98","-1.91","-3.66","-2.31","712.55"
"1.1999512","-20.01","-12.00","4.16","-5.38","-7.43","-6.80","712.60"
"1.25","-20.01","5.61","15.97","-4.01","-4.42","-5.44","712.65"
"1.3099976","-20.01","-19.93","5.30","6.96","-1.27","-1.48","712.71"
"1.3599854","-10.16","-4.94","-5.69","-0.68","9.98","9.54","712.76"
"1.4099731","-20.01","-20.01","20.01","9.93","14.96","19.83","712.81"
"1.4599609","10.04","20.01","20.01","2.06","14.07","6.01","712.86"
"1.5099487","7.49","-20.01","20.01","-0.18","3.44","-5.19","712.91"
"1.5699463","-14.55","16.04","19.89","-5.99","1.02","4.59","712.97"
"1.6199951","-6.08","-20.01","13.69","3.38","-0.02","-1.95","713.02"
"1.6699829","-5.69","3.22","9.10","-3.13","-1.39","-1.40","713.07"
"1.7199707","-12.75","-2.47","4.79","-1.01","-3.20","-4.37","713.12"
"1.7699585","-16.24","3.22","2.04","0.05","-3.46","-4.23","713.17"
"1.8199463","-15.89","-1.26","3.45","0.05","-4.16","-4.09","713.22"
"1.8800049","-16.04","-0.51","2.71","-0.78","-4.50","-3.11","713.28"
"1.9299927","-12.55","-3.57","1.80","-1.74","-3.77","-1.85","713.33"
"1.9799805","-14.63","0.47","-2.04","-2.07","-2.34","-0.70","713.38"
"2.0299683","-10.59","-1.06","-0.16","-2.36","-1.36","-0.24","713.43"
"2.0899658","-20.01","7.65","-3.06","-1.46","0.84","2.68","713.49"
"2.1399536","-16.75","-6.59","4.79","1.42","1.07","-0.19","713.54"
"2.1900024","-3.92","0.67","1.06","-0.79","0.90","-0.60","713.59"
"2.2399902","-12.55","-8.87","0.35","0.88","0.44","-0.09","713.64"
"2.289978","-10.71","-1.77","2.08","-1.05","0.26","0.28","713.69"
"2.3499756","-8.98","-2.24","1.61","0.23","0.30","0.33","713.75"
"2.3999634","-9.57","-3.61","1.10","-0.27","0.25","0.47","713.80"
"2.4499512","-9.85","1.80","0.82","-0.44","0.19","0.40","713.85"
"2.5","-10.12","-1.37","-0.43","0.30","0.13","-0.04","713.90"
"2.5499878","-9.49","-3.45","1.61","-0.02","-0.08","-0.11","713.95"
"2.6099854","-10.16","-2.71","1.45","-0.26","-0.08","0.08","714.01"
"2.6599731","-10.12","-1.22","1.18","0.06","-0.11","0.11","714.06"
"2.709961","-9.85","-3.06","1.06","0.42","-0.18","0.07","714.11"
"2.7599487","-10.16","-1.69","1.45","0.06","-0.27","0.24","714.16"
"2.8099976","-9.49","-1.49","1.41","0.22","-0.36","0.16","714.21"
"2.8599854","-9.89","-2.16","2.90","0.31","-0.33","0.20","714.26"
"2.919983","-9.41","-1.49","2.31","0.21","-0.24","0.25","714.32"
"2.9699707","-9.92","-1.49","2.43","0.19","-0.24","0.32","714.37"
"3.0199585","-9.85","-0.71","2.28","0.13","-0.27","0.31","714.42"
"3.0699463","-9.45","-1.73","3.22","0.28","-0.23","0.34","714.47"
"3.119995","-11.06","0.00","1.69","-0.11","-0.24","0.34","714.52"
