"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.16","2.94","-0.82","-0.26","0.32","0.52","1234.27"
"0.049926758","-9.81","4.79","-1.69","0.06","0.25","0.41","1234.32"
"0.099975586","-10.08","3.22","-2.08","0.43","0.13","0.16","1234.37"
"0.15002441","-9.81","2.94","-1.10","0.03","0.05","0.01","1234.42"
"0.19995117","-10.20","2.28","-0.27","-0.01","-0.00","-0.05","1234.47"
"0.26000977","-10.08","2.12","-0.16","-0.04","0.02","-0.01","1234.53"
"0.30993652","-10.24","2.63","-0.71","-0.22","0.03","0.04","1234.58"
"0.35998535","-10.24","3.37","-0.78","-0.29","-0.00","0.02","1234.63"
"0.41003418","-10.20","3.41","-0.90","-0.28","-0.14","-0.16","1234.68"
"0.45996094","-9.06","1.88","0.39","-0.37","-0.23","-0.49","1234.73"
"0.52001953","-10.90","1.57","0.27","0.16","-0.13","-0.18","1234.79"
"0.5699463","-10.16","2.04","-0.35","0.32","-0.09","-0.20","1234.84"
"0.6199951","-10.04","2.16","-0.90","0.06","-0.12","-0.21","1234.89"
"0.6699219","-9.85","2.16","-0.98","-0.21","-0.19","-0.23","1234.94"
"0.7199707","-10.75","2.63","-1.06","-0.64","-0.30","-0.41","1234.99"
"0.7800293","-10.24","1.73","-0.47","-0.52","-0.45","-0.64","1235.05"
"0.82995605","-10.71","1.88","0.31","-0.64","-0.40","-0.81","1235.10"
"0.8800049","-11.53","4.35","-0.43","-0.63","-0.28","-0.69","1235.15"
"0.92993164","-10.16","5.37","1.26","0.75","-0.04","-0.59","1235.20"
"0.97998047","-10.94","2.47","1.10","1.54","0.05","-0.48","1235.25"
"1.0400391","-9.73","2.79","1.22","1.32","0.11","-0.62","1235.31"
"1.0899658","-8.00","-1.96","2.82","1.44","0.01","-1.14","1235.36"
"1.1400146","-5.26","-3.18","4.12","0.83","-0.20","-1.60","1235.41"
"1.1899414","4.86","-0.47","3.14","2.90","-0.99","-1.73","1235.46"
"1.2399902","-20.01","-20.01","-7.73","0.07","-0.74","-0.75","1235.51"
"1.2999268","-10.08","6.79","5.73","-1.29","-0.89","0.27","1235.57"
"1.3499756","-15.02","-15.65","10.94","2.24","-0.88","-0.18","1235.62"
"1.4000244","-15.38","-20.01","13.22","1.29","-0.12","1.58","1235.67"
"1.4499512","-20.01","20.01","12.47","-1.76","-1.51","2.92","1235.72"
"1.5","-7.81","17.93","13.26","-4.70","-4.63","-2.17","1235.77"
"1.5599365","-20.01","-9.02","-6.39","-1.49","-7.45","-6.34","1235.83"
"1.6099854","-20.01","15.89","-16.87","-3.21","-7.09","-4.11","1235.88"
"1.6600342","-20.01","6.04","-10.47","4.45","-1.11","1.20","1235.93"
"1.7099609","-20.01","-20.01","20.01","4.13","9.78","8.06","1235.98"
"1.7600098","-20.01","-20.01","20.01","-1.69","18.56","13.47","1236.03"
"1.8199463","-0.20","-20.01","20.01","37.02","16.06","0.67","1236.09"
"1.8699951","-20.01","20.01","20.01","-11.68","1.67","-12.66","1236.14"
"1.9199219","4.94","-11.57","2.98","-9.07","-2.95","-8.21","1236.19"
"1.9699707","7.69","20.01","20.01","-2.51","-2.86","-3.40","1236.24"
"2.0200195","-20.01","-16.55","16.12","-0.92","-4.53","-0.80","1236.29"
"2.079956","-14.04","7.22","6.55","-5.32","-2.25","-1.51","1236.35"
"2.130005","-7.22","-4.59","8.24","-1.44","-2.87","-0.17","1236.40"
"2.1799316","5.26","20.01","20.01","-7.05","4.53","3.73","1236.45"
"2.2299805","-5.49","-13.14","12.00","3.18","-0.10","-1.29","1236.50"
"2.2800293","-14.55","-9.18","-0.59","0.12","0.21","-1.02","1236.55"
"2.3399658","-9.57","8.00","-3.10","-1.37","0.55","0.73","1236.61"
"2.3900146","-10.55","3.57","-2.82","1.80","0.43","0.34","1236.66"
