"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.04","4.63","0.90","2.76","0.67","-0.69","2021.44"
"0.050048828","-7.65","-6.71","5.26","5.78","0.78","-1.85","2021.49"
"0.11010742","-7.49","-4.35","5.22","3.33","0.08","-2.33","2021.55"
"0.16003418","-7.85","-0.51","5.81","1.90","-0.48","-2.28","2021.60"
"0.21008301","-9.34","-1.33","4.71","1.83","-0.54","-1.98","2021.65"
"0.26000977","-8.79","-2.94","3.41","1.05","-0.53","-1.21","2021.70"
"0.3100586","-10.28","-3.57","3.18","-1.18","-0.28","-0.11","2021.75"
"0.3701172","-10.75","6.94","3.41","-2.01","0.43","0.90","2021.81"
"0.42004395","-10.87","-2.24","2.04","-0.19","0.32","0.80","2021.86"
"0.47009277","-10.71","-2.16","0.04","-0.22","0.11","0.29","2021.91"
"0.52001953","-10.43","0.43","0.35","0.23","0.28","-0.13","2021.96"
"0.57006836","-8.08","-2.51","3.96","-0.08","0.04","-0.32","2022.01"
"0.6300049","-9.14","-3.41","1.69","-0.23","-0.12","-0.37","2022.07"
"0.6800537","-9.02","-3.14","3.96","-0.11","-0.07","-0.39","2022.12"
"0.73010254","-9.85","-2.67","3.69","-0.04","-0.05","-0.25","2022.17"
"0.7800293","-11.26","-4.79","2.08","0.14","-0.12","-0.15","2022.22"
"0.8300781","-9.89","-4.86","2.98","-0.00","-0.21","0.02","2022.27"
"0.89001465","-9.26","-3.14","2.90","-0.21","-0.30","0.20","2022.33"
"0.9400635","-8.59","-2.12","2.86","-0.02","-0.40","0.13","2022.38"
"0.9901123","-8.79","-2.82","2.43","-0.05","-0.58","-0.05","2022.43"
"1.0400391","-13.61","-1.49","4.55","-0.11","-0.77","-0.22","2022.48"
"1.0900879","-10.24","1.61","7.26","-0.66","-1.13","-0.07","2022.53"
"1.1500244","-8.36","-1.29","5.37","-0.94","-1.71","-0.03","2022.59"
"1.2000732","-8.04","-2.08","4.63","-1.45","-1.89","0.46","2022.64"
"1.25","-6.79","-3.22","4.86","-0.28","-1.63","0.40","2022.69"
"1.3000488","-6.08","-4.35","6.28","1.10","-1.90","0.22","2022.74"
"1.3500977","-6.00","-6.86","6.71","-1.26","-2.01","0.78","2022.79"
"1.4100342","-5.06","0.16","5.53","-1.26","-1.99","0.56","2022.85"
"1.460083","-6.83","-4.31","6.79","0.26","-1.97","1.12","2022.90"
"1.5100098","-5.69","-6.39","5.26","-1.11","-1.67","1.95","2022.95"
"1.5600586","-5.49","-2.04","6.08","-1.61","-1.31","2.53","2023.00"
"1.6101074","-5.92","-0.75","6.90","-0.40","-0.85","2.84","2023.05"
"1.6600342","-9.69","-3.65","6.63","-0.64","0.13","3.05","2023.10"
"1.7200928","-12.43","1.33","7.30","-1.14","1.31","3.71","2023.16"
"1.7700195","-12.94","1.06","5.33","-0.39","2.50","6.69","2023.21"
"1.8200684","-20.01","-20.01","11.34","-0.47","2.32","9.12","2023.26"
"1.8701172","-15.81","13.61","19.53","-2.48","4.06","9.83","2023.31"
"1.9300537","-11.65","-20.01","-0.82","8.44","2.34","1.36","2023.37"
"1.9801025","-7.22","-0.51","5.14","-1.36","1.65","1.74","2023.42"
"2.0300293","-3.69","-9.22","6.55","0.02","1.31","0.63","2023.47"
"2.0800781","-4.08","-3.06","6.63","0.09","1.06","-0.15","2023.52"
"2.130005","-6.43","-0.75","4.90","0.23","0.75","-0.83","2023.57"
"2.1900635","-9.18","1.22","4.00","0.52","0.11","-1.60","2023.63"
"2.2401123","-10.28","1.73","3.61","-0.03","-0.38","-1.92","2023.68"
"2.290039","-11.10","4.67","2.98","-0.21","-0.56","-1.85","2023.73"
"2.340088","-12.20","0.51","3.73","1.14","-0.87","-2.35","2023.78"
"2.3900146","-13.22","1.57","3.53","0.16","-1.39","-2.51","2023.83"
"2.4500732","-15.57","0.98","1.02","0.48","-1.62","-2.65","2023.89"
"2.5","-16.91","5.88","-4.39","-1.07","-0.40","-0.96","2023.94"
"2.5500488","-3.02","0.39","0.86","3.65","1.11","2.00","2023.99"
"2.6000977","-6.83","-4.94","-16.44","1.76","0.46","-0.97","2024.04"
"2.6500244","-7.14","11.89","0.27","-1.08","0.68","1.18","2024.09"
"2.710083","-8.63","-0.08","-2.16","1.55","0.47","0.18","2024.15"
"2.7600098","-11.81","1.88","2.59","0.46","0.40","-0.27","2024.20"
