"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.96","-2.90","0.31","-0.07","0.03","-0.01","413.24"
"0.05001831","-10.16","-2.55","0.43","-0.02","0.05","0.02","413.29"
"0.1000061","-9.85","-3.14","0.43","-0.02","0.06","0.03","413.34"
"0.15002441","-9.85","-2.20","0.47","-0.05","0.08","0.09","413.39"
"0.21002197","-9.89","-1.22","-0.63","0.05","0.08","-0.04","413.45"
"0.26000977","-10.87","0.59","-0.39","0.26","-0.03","-0.31","413.50"
"0.30999756","-9.38","-2.59","-0.67","0.22","-0.13","-0.56","413.55"
"0.36001587","-9.45","-3.53","0.00","-0.23","-0.13","-0.63","413.60"
"0.41000366","-10.40","-2.24","1.26","-0.26","-0.20","-0.93","413.65"
"0.47000122","-9.34","-5.26","0.71","0.03","-0.19","-0.81","413.71"
"0.52001953","-9.45","-5.33","1.33","0.09","-0.11","-0.50","413.76"
"0.5700073","-9.06","-5.49","0.90","0.04","-0.11","-0.41","413.81"
"0.6199951","-10.28","-5.14","0.71","0.31","-0.13","-0.04","413.86"
"0.6700134","-9.22","-4.67","1.06","0.24","-0.22","0.07","413.91"
"0.7200012","-10.08","-5.77","1.37","0.45","-0.28","0.12","413.96"
"0.7799988","-11.10","-1.53","0.71","0.37","-0.38","0.31","414.02"
"0.8300171","-9.53","-1.92","1.14","0.27","-0.53","0.00","414.07"
"0.8800049","-9.57","-3.37","4.16","0.05","-0.79","-0.33","414.12"
"0.9300232","-9.73","1.92","3.65","1.55","-0.74","-0.76","414.17"
"0.99002075","-11.92","-8.87","1.61","-0.16","-1.52","-1.64","414.23"
"1.0400085","-11.45","-3.41","3.02","-1.78","-2.83","-2.78","414.28"
"1.0899963","-12.63","-0.31","-2.71","-2.05","-2.47","-1.21","414.33"
"1.1400146","-12.71","11.30","-7.61","0.84","0.29","1.22","414.38"
"1.1900024","-20.01","-10.79","-7.85","2.93","2.26","3.31","414.43"
"1.2400208","-20.01","-12.08","-5.57","0.05","4.73","4.40","414.48"
"1.3000183","-13.26","-16.79","20.01","5.80","5.61","2.72","414.54"
"1.3500061","-9.96","-14.98","-3.84","-7.78","5.82","4.99","414.59"
"1.4000244","-20.01","20.01","18.32","7.78","4.18","5.03","414.64"
"1.4500122","-17.57","6.63","9.30","-1.02","5.93","0.73","414.69"
"1.5","-3.30","-14.00","6.16","-0.31","3.13","1.14","414.74"
"1.5599976","-0.39","-4.04","7.53","-5.18","1.24","0.98","414.80"
"1.6100159","-3.26","4.86","1.69","-1.99","0.44","0.43","414.85"
"1.6600037","1.92","-7.65","4.20","0.38","-0.22","-0.44","414.90"
"1.710022","-4.39","3.10","1.41","-1.84","-0.67","-0.35","414.95"
"1.7700195","-2.75","-1.14","0.63","-0.05","-1.19","-1.65","415.01"
"1.8200073","-5.14","1.33","-0.94","0.06","-1.26","-1.74","415.06"
"1.8699951","-9.30","0.78","-1.77","-0.05","-1.63","-1.77","415.11"
"1.9200134","-8.59","2.86","-1.57","-0.13","-1.57","-1.70","415.16"
