"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.85","0.75","1.57","0.16","0.31","0.33","211.58"
"0.05000305","-9.73","-0.59","-1.29","-0.08","0.22","0.18","211.63"
"0.099990845","-11.18","-0.63","-1.06","0.12","0.20","-0.08","211.68"
"0.1499939","-11.22","-0.16","0.55","-0.20","0.15","0.22","211.73"
"0.20999146","-9.10","2.39","-0.55","-0.30","0.11","0.25","211.79"
"0.2599945","-9.77","-0.08","0.16","0.15","0.18","0.11","211.84"
"0.30999756","-11.89","0.16","-0.59","-0.07","0.11","0.12","211.89"
"0.3600006","-8.79","1.65","-0.39","-0.29","0.18","0.28","211.94"
"0.41000366","-10.40","-1.92","-1.06","0.32","0.12","0.05","211.99"
"0.47000122","-11.18","-1.06","-1.29","-0.48","0.01","0.13","212.05"
"0.5200043","-13.10","1.80","1.37","-0.50","0.02","-0.55","212.10"
"0.56999207","-7.96","0.67","0.04","-0.35","0.16","-0.19","212.15"
"0.6199951","-10.51","0.63","0.20","-0.10","0.06","-0.06","212.20"
"0.66999817","-12.16","0.78","-0.82","-0.24","0.14","-0.10","212.25"
"0.7299957","-9.69","-1.29","-0.90","0.23","0.17","-0.16","212.31"
"0.7799988","-10.75","-0.75","-1.22","-0.17","0.10","-0.26","212.36"
"0.83000183","-10.12","-0.55","-0.90","0.08","0.09","-0.04","212.41"
"0.8800049","-8.71","-1.06","-0.08","0.46","0.08","-0.02","212.46"
"0.9299927","-9.65","-1.02","-1.29","0.53","-0.01","-0.12","212.51"
"0.9900055","-14.51","-4.94","-1.02","0.39","-0.22","1.40","212.57"
"1.0399933","-10.36","2.43","-1.65","-0.58","-0.14","0.19","212.62"
"1.0899963","-10.24","-0.16","-0.51","0.06","-0.19","0.03","212.67"
"1.1399994","-10.63","0.31","-0.20","-0.32","-0.26","0.04","212.72"
"1.1900024","-11.41","0.04","-0.20","-0.14","-0.36","-0.17","212.77"
"1.25","-10.79","1.49","-0.08","-0.27","-0.58","-0.45","212.83"
"1.300003","-11.22","0.12","0.35","-0.14","-0.33","-0.62","212.88"
"1.3499908","-9.53","0.43","1.22","0.06","-0.01","-0.68","212.93"
"1.3999939","-9.53","-1.65","0.47","0.45","-0.06","-0.83","212.98"
"1.449997","-11.06","0.27","0.59","0.11","0.24","-0.49","213.03"
"1.5099945","-8.94","-2.20","1.73","2.10","0.29","-0.56","213.09"
"1.5599976","-8.63","-6.20","1.69","1.23","0.14","-0.48","213.14"
"1.6100006","-8.32","-0.94","0.90","0.39","-0.19","-0.75","213.19"
"1.6600037","-8.39","-6.35","3.30","-0.55","-0.07","-0.24","213.24"
"1.7099915","-16.08","0.82","0.08","-0.40","-0.00","-0.23","213.29"
"1.7700043","-9.49","-3.69","-0.47","0.16","-0.09","-0.62","213.35"
"1.8199921","-9.77","0.31","1.18","-0.07","-0.13","-0.92","213.40"
"1.8699951","-9.34","-4.86","0.71","0.23","-0.31","-1.16","213.45"
"1.9199982","-8.24","-8.28","2.00","0.25","-0.52","-0.99","213.50"
"1.9700012","-9.69","-10.24","1.88","0.00","-0.65","-0.38","213.55"
"2.0299988","-13.45","-7.81","3.65","-0.32","-0.90","0.43","213.61"
"2.0800018","-17.22","13.85","10.20","-0.77","-1.35","0.25","213.66"
"2.130005","-6.86","-6.59","-7.41","1.00","-2.29","-1.05","213.71"
"2.1799927","-20.01","4.08","5.57","-4.60","-4.77","-5.05","213.76"
"2.2299957","-20.01","20.01","-13.14","-0.81","-2.15","-3.03","213.81"
"2.2899933","-20.01","-11.57","-10.55","4.33","1.52","2.16","213.87"
"2.3399963","-20.01","-6.55","-2.31","1.89","8.24","9.08","213.92"
"2.3899994","-20.01","-20.01","20.01","6.11","10.00","9.61","213.97"
"2.4400024","-20.01","-20.01","17.53","-1.01","9.86","-0.50","214.02"
"2.4900055","-0.90","-0.67","20.01","5.58","5.84","1.67","214.07"
"2.550003","-5.73","20.01","20.01","-7.61","3.36","0.70","214.13"
"2.5999908","4.43","-17.53","11.85","0.52","0.75","-1.30","214.18"
"2.649994","4.94","0.24","10.94","-2.42","-0.14","-0.44","214.23"
