"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-8.51","-3.84","-5.88","-0.91","0.87","1.83","2100.53"
"0.050048828","-6.12","1.49","2.20","-0.67","1.74","2.32","2100.58"
"0.10986328","-4.04","-4.51","16.99","-0.82","-0.26","-0.87","2100.64"
"0.15991211","-16.99","3.73","0.27","0.25","0.22","-0.80","2100.69"
"0.20996094","-12.55","-6.47","-0.55","0.43","-0.02","-0.41","2100.74"
"0.26000977","-9.77","2.82","-0.63","-0.18","0.12","0.04","2100.79"
"0.3100586","-11.02","0.27","-1.96","0.31","-0.03","-0.08","2100.84"
"0.36987305","-10.90","1.14","0.75","0.08","-0.24","-0.37","2100.90"
"0.41992188","-12.98","-1.92","3.26","0.44","-0.29","-0.35","2100.95"
"0.4699707","-5.02","-3.73","1.41","0.46","-0.28","-0.07","2101.00"
"0.52001953","-9.77","-12.00","1.88","-0.30","-1.19","-1.34","2101.05"
"0.5800781","-7.18","-5.33","3.57","-0.39","-1.28","-2.33","2101.11"
"0.6298828","-3.30","-7.73","0.39","-0.35","-1.45","-2.42","2101.16"
"0.67993164","-13.26","20.01","-4.94","-0.49","-0.07","0.05","2101.21"
"0.72998047","-11.14","-3.61","2.59","0.70","0.44","-0.55","2101.26"
"0.7800293","-19.93","-1.22","4.79","-0.31","0.37","0.59","2101.31"
"0.8300781","-18.48","13.06","-9.22","0.08","-0.67","-0.30","2101.36"
"0.8898926","-15.38","12.36","-8.08","0.28","-1.97","-2.69","2101.42"
"0.9399414","-18.44","-9.96","2.67","0.36","-2.99","-4.26","2101.47"
"0.98999023","-14.71","5.84","0.51","2.02","0.05","-0.57","2101.52"
"1.0400391","-12.00","-8.36","4.20","1.48","2.22","2.01","2101.57"
"1.0998535","-5.92","-9.06","10.79","-0.23","3.75","3.73","2101.63"
"1.1499023","0.24","-10.87","15.77","-1.94","3.91","4.96","2101.68"
"1.1999512","6.79","-9.61","12.94","-0.26","1.40","1.07","2101.73"
"1.25","-19.42","-17.38","-6.67","3.08","-3.22","-3.41","2101.78"
"1.3000488","5.18","-16.24","15.49","-0.30","-0.65","0.49","2101.83"
"1.3598633","-20.01","-20.01","14.20","1.48","0.53","1.15","2101.89"
"1.4099121","-11.38","18.20","-12.83","0.19","0.36","5.02","2101.94"
"1.4599609","-13.42","8.47","14.98","-1.69","-7.25","-7.01","2101.99"
"1.5100098","-20.01","4.47","5.92","-3.88","-8.98","-8.15","2102.04"
"1.5600586","-17.77","6.94","-7.06","0.99","-6.88","-6.34","2102.09"
"1.6098633","-20.01","8.32","-9.14","0.12","-6.17","-0.47","2102.14"
"1.6699219","-20.01","-2.63","-1.14","5.81","2.10","3.62","2102.20"
"1.7199707","-20.01","-20.01","20.01","9.61","16.48","9.57","2102.25"
"1.7700195","-20.01","20.01","-19.14","-4.52","19.17","13.06","2102.30"
"1.8200684","-15.61","-20.01","-13.53","6.53","9.56","1.70","2102.35"
"1.8798828","-20.01","17.69","19.22","-6.81","6.25","-1.49","2102.41"
"1.9299316","-20.01","-20.01","20.01","-1.69","3.60","-5.07","2102.46"
"1.9799805","-2.16","-4.08","20.01","-6.40","3.60","-1.31","2102.51"
"2.0300293","9.65","-3.69","20.01","-0.33","1.64","-3.81","2102.56"
"2.0800781","2.31","-11.30","13.34","-0.01","-3.07","-5.25","2102.61"
"2.1398926","-1.29","-1.10","10.63","-3.35","-3.65","-4.58","2102.67"
"2.1899414","-2.31","7.37","9.53","-3.43","-4.36","-4.09","2102.72"
"2.2399902","-3.84","1.84","11.22","-0.79","-4.52","-2.59","2102.77"
"2.290039","-15.42","-4.08","6.55","1.97","-5.13","-0.20","2102.82"
"2.340088","-6.86","-9.02","20.01","-3.53","0.22","2.24","2102.87"
