"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-12.59","19.34","2.71","-0.19","0.36","1.52","1867.63"
"0.050048828","-8.75","0.39","1.57","-2.12","0.12","-0.16","1867.68"
"0.099975586","-11.61","2.75","-1.14","0.76","0.16","0.34","1867.73"
"0.15002441","-10.40","-0.82","0.31","0.48","0.07","0.23","1867.78"
"0.19995117","-9.73","2.86","0.71","-0.49","0.13","0.25","1867.83"
"0.26000977","-10.43","1.18","1.10","0.33","0.08","0.08","1867.89"
"0.30993652","-10.47","0.08","-0.24","-0.42","-0.01","0.12","1867.94"
"0.35998535","-10.51","2.31","0.12","-0.48","-0.02","0.07","1867.99"
"0.41003418","-10.55","2.12","-0.04","-0.06","-0.06","-0.03","1868.04"
"0.45996094","-10.43","2.39","-0.39","0.09","-0.16","-0.20","1868.09"
"0.52001953","-10.08","1.57","-0.08","0.11","-0.32","-0.44","1868.15"
"0.5699463","-10.47","1.29","0.27","0.01","-0.40","-0.58","1868.20"
"0.6199951","-10.43","-0.27","0.90","0.20","-0.54","-0.60","1868.25"
"0.67004395","-11.02","0.94","1.84","0.11","-0.42","-0.84","1868.30"
"0.7199707","-8.98","-1.37","1.10","0.47","-0.41","-1.18","1868.35"
"0.7800293","-8.39","-1.77","3.69","1.13","-0.66","-1.31","1868.41"
"0.82995605","-6.16","-2.71","4.71","0.71","-0.84","-1.20","1868.46"
"0.8800049","-4.04","-0.43","-0.78","0.32","-0.64","-1.02","1868.51"
"0.9300537","-12.36","-2.35","-0.43","-0.59","-0.46","-0.20","1868.56"
"0.97998047","-13.53","5.88","2.16","-0.71","-0.34","-0.75","1868.61"
"1.0400391","-6.59","-9.06","3.53","0.93","-1.15","-1.22","1868.67"
"1.0899658","-2.59","-12.40","10.04","-0.03","-0.42","0.01","1868.72"
"1.1400146","-18.79","-9.22","10.94","0.21","0.29","1.01","1868.77"
"1.1899414","-20.01","11.92","1.37","-1.18","-0.04","1.99","1868.82"
"1.2399902","-0.04","10.08","-9.02","-1.37","-1.33","1.95","1868.87"
"1.2900391","-7.37","4.43","0.55","-4.33","-3.79","-3.08","1868.92"
"1.3499756","-20.01","20.01","-7.88","-3.56","-4.13","-3.58","1868.98"
"1.4000244","-20.01","11.61","-13.65","4.31","-1.64","-2.72","1869.03"
"1.4499512","-20.01","-17.73","8.20","5.39","6.61","2.97","1869.08"
"1.5","-20.01","-20.01","19.30","-0.27","17.40","8.89","1869.13"
"1.5599365","-20.01","-20.01","20.01","14.71","12.45","-0.55","1869.19"
"1.6099854","-20.01","20.01","20.01","-13.02","6.22","-1.74","1869.24"
"1.6600342","-12.24","-20.01","13.22","2.70","0.73","-4.42","1869.29"
"1.7099609","2.31","2.94","20.01","-5.29","2.70","-1.40","1869.34"
"1.7600098","-4.24","-8.39","15.89","-2.48","-0.17","-3.00","1869.39"
"1.8199463","-14.83","-0.98","8.32","-2.67","-1.96","-4.72","1869.45"
"1.8699951","-20.01","-3.18","6.08","-0.59","-3.59","-6.46","1869.50"
"1.920044","-19.10","-4.20","4.43","0.12","-4.06","-5.86","1869.55"
"1.9699707","-19.06","-7.85","-19.93","-2.20","-3.95","-3.88","1869.60"
"2.0200195","20.01","5.57","-12.32","-0.12","2.47","-0.59","1869.65"
"2.0699463","-10.28","-5.26","2.75","-0.94","-0.28","-3.46","1869.70"
"2.130005","-15.57","-2.59","-4.00","-2.25","-0.43","0.19","1869.76"
"2.1800537","-12.75","4.75","1.96","-2.08","-0.61","0.82","1869.81"
"2.2299805","-10.87","-3.10","0.90","0.72","-0.06","0.01","1869.86"
"2.2800293","-10.32","-1.65","-0.75","0.69","0.18","0.21","1869.91"
"2.3399658","-10.55","-1.06","-0.35","0.58","0.18","0.37","1869.97"
